都道府県,内容
愛知,    今回の旅は、午前時分頃に名古屋駅到着東京駅から名古屋駅までは新幹線で時間分時間ほど。夜行バスだと次の日に疲れが残ってしまいがちですが、新幹線だと疲れが溜まりません。リニアが開通すると、もっと時間をかけず名古屋まで行くことができますよ。
愛知,    名古屋に到着したら、まずはじめに  で朝食を頂きます。ノスタルジックな雰囲気が特徴のこちらのお店は、午前時分から開店しており、新幹線ユーザーだけでなく夜行バスユーザーにもありがたいお店となっています。
愛知,    ここで絶対に食べるべきグルメは、小倉トースト。つ切りにされたトーストにあんことバターがたっぷりとのったトーストを食べられます。午前時分までなら、ドリンクもついたセットメニューを注文できますよ。
愛知,    ゆっくり朝食を堪能したら、お次は名古屋城へ向かいます。お城の屋根に構える金鯱きんのしゃちほこが名古屋のシンボルとして知られ、多くの観光客が訪れる名古屋屈指の観光スポットです。天守閣は閉館となっているのでご注意ください。
愛知,    金色の障壁画が美しい本丸御殿や、自然が美しい庭園など見どころが様々あります。そして最上階は展望台になっており、そこから見ることのできる名古屋の景色は必見です。
愛知,    名古屋城を楽しんだら、ランチを頂きます。名古屋といえば味噌カツ。味噌カツといえばここと言っても過言ではないほど有名な矢場とん 矢場町本店。名古屋市内にも数店舗あるだけでなく、大阪や東京にも店舗があることで知られています。
愛知,    名古屋駅の周辺にも店舗があるので、利便性を重視する方はそちらを訪れるのがおすすめです。しかし、せっかく名古屋に来たのだから本店で食べたいという方は、ぜひ矢場町本店まで足を運んでみてくださいね。
愛知,    味噌かつを食べてお腹いっぱいになったところで、再び腹ごなしに徳川園へ観光へ。名古屋には、素晴らしい庭園がたくさんあるのですが、この徳川園もその一つ。回遊式の日本庭園で、季節ごとに素晴らしい景色を生み出します。
愛知,    徳川園で小腹を空かせたところで、カフェ ヴァンサンヌ ドゥのアップルパイを頂きます。名物のアップルパイを求めて、行列の絶えない愛されカフェ。冬に名古屋を訪れたらぜひ食べるべき逸品です。
愛知,    こちらのアップルパイは、注文が入ってから焼かれるので、アツアツかつサックサクなんです。また付け合わせには、アップルパイとの相性抜群のバニラアイスクリーム寒い外から一歩中に入り、レトロな雰囲気の中で食べるアップルパイは絶品です。
愛知,    お次は熱田神宮へお参り。日本神話に登場する三種の神器の一つである草薙神剣くさなぎのみつるぎが祀られているこちらのスポットは、名古屋随一のパワースポット。静寂で落ち着いた雰囲気なので、日々の喧騒を忘れることができますよ。
愛知,    境内には楠の木が多くあり、特に大きい楠の木本は七本楠と呼ばれています。中でも、弘法大師が直接手植えしたとされる大楠は樹齢千年以上にもなり、ものすごい存在感を誇っています。
愛知,    熱田神宮でパワーチャージをしたら、電車を乗り継ぎ名古屋テレビ塔とオアシスへ向かいます。夜に美しさが一層増すスポットのこちら。特に、名古屋栄のランドマークタワーとしてリニューアルオープンした名古屋テレビ塔は、恋人の聖地としても知られていますよね。
愛知,    オアシスは、地上階と地下からなる立体型公園。外から見ても中からみても、大迫力です。昼に訪れてもまた違った魅力がありますが、やはり夜がおすすめ。ロマンティックな気分に浸れますよ。
愛知,    旅の最後は、名古屋名物ひつまぶしで〆ましょう。まるやのひつまぶしは、皮の部分である外はパリッと、中はふんわりとした食感が特徴。一度食べたら忘れられないほど絶品です。
愛知,    伝統のたまり醤油で作られる秘伝のタレは、昔ながらの懐かしい味と、絶妙な甘さが魅力。お米も、専属のお米マイスターが選定し、ブレンドしたもののみが使用されています。その他にも、漬物やお茶にまでこだわられたひつまぶしを、ぜひ堪能してください。
愛知,    いかがでしたか名古屋の絶品グルメを食べ尽くして食欲を満たす日プランをご紹介しました。週末の日帰り旅行にもおすすめですし、日プラスして岐阜に足を運んでみるのもおすすめです。ぜひ訪れてみてください。なお情報は記事掲載時点のものです。詳細は公式サイトなどでも事前確認することをおすすめします。
