都道府県,内容
愛媛,    旅の始まりは国の重要文化財にもなっている道後温泉どうごおんせんから。から利用することができる道後温泉で気持ちよく朝風呂しましょう。本館の神の湯は浴槽の中に大きな円柱型の湯口の存在感によって、その名の通り、どこか神秘的な雰囲気を感じられます。
愛媛,    温泉ですっきりとした朝を迎えたら、道後温泉の周りを観光してみましょう圓満寺えんまんじは近年特に女子旅の観光スポットとしてとっても人気になっています。可愛らしいお結び玉はカラーバリエーションも側も豊富で、どれにするか迷ってしまうほど。縁結びとして有名なお寺なので、恋のお願い事をしてみてはいかがでしょうか。
愛媛,    道後商店街の周辺には、からくり時計があります。こちらは、基本的にからの一時間ごとに夏目漱石の小説坊っちゃんの登場人物が音楽に乗せて現れるというもの。時間が合えば見ておきましょう。こちらの通りには名産品を揃えたお店が連なっているので、ぶらりと買い物してみてはいかがでしょうか。
愛媛,    道後の街並みを散策したら、少し早めのランチを頂きます。日本料理 すし丸 道後店は郷土料理を味わえる老舗のお寿司屋さんとして、地元の方からも愛されてるお店です。こちらでは、瀬戸内海や宇和海で獲れた新鮮なシーフードを使用した様々な料理をいただくことができます。
愛媛,    松山で有名な老舗のうどん屋ことりはリーズナブルな価格で絶品の鍋焼きうどんをいただくことができます。こちらのお店に行く場合は、大街道駅まで電車で行き、そこから徒歩で行くのがおすすめです。熱々のうどんで心まで温まりますよ。
愛媛,    お腹を満たしたら、電車に乗り込み大街道駅まで行き、松山城に登りましょう。山を歩いて登ることもできますが、おすすめはロープーウェイの利用。松山の景色全体を優雅に眺めながら、登っていくことができます。
愛媛,    ロープーウェイで上がったら、伊予柑ソフトを頂きましょう。愛媛ならではの美味しい風味豊かな柑橘を堪能できますよ。贅沢に果肉も入っているのでさっぱりといただけるのもうれしいところ。他にも、松山のミカンジュースもあるのでそちらもいただいてみてくださいね。
愛媛,    松山城を楽しんだら、再びロープーウェイに乗り込んで山を降りましょう。風情のある路面電車で松山駅へ向かい、下灘駅へ向かいます。この電車は本数が非常に少ないので事前に時間を調べておくのを強くおすすめします。
愛媛,    駅の向こう側には海が果てしなく広がっています。太陽が登っている昼間に訪れるのも良いですが、ちょうど夕日が沈む、幻想的な時間に訪れるのがおすすめ。何時間でも眺めていられるほど美しい景色を堪能できます。
愛媛,    下灘駅の絶景を満喫したら、市内へ戻りましょう。電車が来るまでの待ち時間や、時間が余ってしまった時は、日没まで下灘珈琲が営業しているので、そこに立ち寄るのもおすすめです。コーヒーや紅茶といった定番から、様々なアイスドリンクをいただくことができますよ。
愛媛,    市内の中心部に戻ってきたら、二番町で飲みあるきましょう松山の居酒屋バーは、どこも絶品でおすすめ。地元の方もフレンドリーなので、会話も楽しめちゃいますよ。大入亭は、新鮮で美味しい海鮮をお酒とともに楽しめる人気店。
愛媛,    二番町の人気バー ルクラブ。内装や外装も雰囲気が抜群で、ぜひ旅の締めくくりに訪れたいお店です。メニューには、お酒の説明やこだわりが詳細にかかれてあるので、初めての方でも安心して楽しめるお店です。
愛媛,    いかがでしたか。愛媛の松山市を満喫するプランをご紹介しました。愛媛はこれだけでなく、少し車を走らせたところに大自然が広がっていたりと魅力満点です。ぜひ旅行で訪れてみてください。なお情報は記事掲載時点のものです。詳細は公式サイトなどでも事前確認することをおすすめします。
愛媛,    まずはじめにご紹介するのは、建物の上に乗った姿が目を引く大観覧車くるりん。伊予鉄道松山市駅からすぐのいよてつ髙島屋の屋上にあり、見晴らしは抜群。昼間に乗って山の上の松山城を含む松山市の景色を見渡すのも、日松山市内を観光した後、夜に乗ってゆっくりと夜景を眺めるのもおすすめですよ。
愛媛,    ゴンドラは全部で台あり、内台のみ、床まで全面ガラス張りのシースルーゴンドラとなっています。ちょっぴり怖いかもしれませんが、地上もある最高地点で全方位から景色を楽しむことができるのは、なかなかエキサイティング。思い出に残ること間違いなしです。
愛媛,    萬翠荘ばんすいそうは、松山城近くにあるフランス風の洋館。松山駅から路面電車に乗り、大街道駅おおかいどうで下車後、徒歩約分。大正年、旧松山藩主の子孫久松伯爵家の別宅として建てられました。当時の姿を残した建築は美術品としての価値も高く、国の重要文化財に指定されています。
愛媛,    生い茂る木々の中にひっそりと佇む洋館は、まるでヨーロッパのお城。日本の風景とはかけ離れた景色が、別世界にいるかのように感じさせます。夜の灯りがついた萬翠荘も、洋館の趣をさらに際立たせて素敵ですよ。階は無料で観覧でき、階では企画展を開催。他にも各種イベントが行われているので、ぜひ事前にお調べくださいね。おすすめは月頃のバラ展です。
