都道府県,内容
福島,    最初にご紹介するのは、福島駅からバスで分のところにある四季の里です。約ヘクタールにもなる広大な土地で、農業を楽しく身近に感じられる体験ができます。自然と触れ合ったり、伝統工芸品を自分で作ったりと、バリエーション豊かな遊び方があるのが魅力の一つ。
福島,    施設内の農園レストランでは、アサヒビール福島工場から直接送られる、出来立てのビールとジンギスカンを味わうことができます。窓側の席で、福島の雄大な自然を見ながら食事をすれば、ゆったりとした時間が流れていきます。他にも、子供と一緒に楽しめる施設が多いので、お子様連れにもおすすめですよ。
福島,    番目に紹介するのは、二本松市にある岳温泉だけおんせんです。この温泉郷は安達太良山麓の高原に位置し、豊かな自然に囲まれているため、日本温泉協会のアンケートで自然環境日本一にも選ばれています。豊かな自然と山麓由来の美味しいお水とごはんを堪能しに、一度足を運んでみてはいかがですか。
福島,    また、周辺の温泉街には、お食事処にカフェ、お土産屋など、散策にぴったりなスポットが盛りだくさん。ソースかつ丼が評判の老舗お食事処成駒に、地元産の牛乳を使ったチーズケーキが味わえるカフェ 風花もお勧め。岳温泉までは二本松駅からシャトルバスが出ているので、アクセスも良好ですよ。
福島,    番目は田村郡小野町にあるリカちゃんキャッスルです。タカラトミーの運営するこの施設ではドレスを着て、あのリカちゃんになりきることができたり、歴代のリカちゃんを見ることができます。
福島,    またリカちゃんファクトリーではリカちゃんの製造の過程などを見学することもできます。場所は磐越東線小野新町駅から徒歩分ほどの所にあり、電車でのアクセスが可能である他、駐車場が無料となっているので車での来場も便利です。是非一度足を運んで、メルヘンな雰囲気を楽しんでみてはいかがですか。
福島,    番目に紹介するのは、磐梯吾妻スカイラインです。福島の高湯温泉と土湯峠を結ぶこの道は、ドライブにうってつけの場所として、知る人ぞ知る名所となっています。平均標高メートルを走っており、自然を感じながら、迫力のあるドライブを楽しむことができます。
福島,    スカイラインは月上旬から月下旬と開通期間が決まっており、冬季は封鎖されています。春には雪の回廊、初夏には新緑、秋には紅葉と季節ごとに違った顔を見せるこの道路をドライブすれば、爽快な気分になること間違いなしです。
福島,    番目に紹介するのはいわき市にある白水阿弥陀堂しらみずあみだどうです。年に藤原清衡の娘徳姫が平泉の中尊寺金色堂をならって建造したとされるこの建物は真言宗智山派のお寺であり、福島県唯一の国宝指定の建築物です。
福島,    白水阿弥陀堂へは、いわき駅からバスでいくことができます。無料の駐車場もあるので、車で拝観に行くこともできます。拝観時間は月～月までは～、月～月の期間は～までで、拝観料は大人円、子供円となっております。
