都道府県,内容
岐阜,    岐阜県の北部にある飛騨ひだ地方。ここは人気の観光スポットが集ったエリアで、ドライブにもってこいのエリア。飛騨高山や古川には風情ある街並みが残り、下呂温泉や世界遺産の白川郷もあります。映画の舞台として話題にもなったスポットです。今回は車での移動が便利な飛騨地方の有名どころをめぐるドライブコースをご紹介します
岐阜,    まず初めにご紹介するスポットは、やっぱりここ白川郷。車をとめたら、まず向かってほしいのが白川郷を一望できる城山展望台です。ここは山の上にあり白川郷全体をみることができます。絶好の写真スポットですよ。
岐阜,    城山展望台までのアクセス方法は、タクシーやシャトルバス、または徒歩で上ります。徒歩だと片道約分ほどで到着します。世界遺産に登録された白川郷の合掌造りがいくつもある様子を見ることができますよ。世界でここだけしか見られない景色があなたを待っているはず。
岐阜,    続いてご紹介するのは、城山展望台からすぐのところにある重要文化財に指定されている和田家住宅です。ここは白川郷を代表する茅葺き合掌造り住宅。白川郷内の中で一番大きな合掌造り住宅です。こちらのお家は、中を見学することが出来るんです。
岐阜,    和田家はなんと築年以上。現在も実際に生活が営まれています。和田家で使用された民具なども展示されています。二階からは白川郷の美しい景色を見ることができます。世界遺産に登録された合掌造りを間近で見ることができるので、ぜひ立ち寄ってみてくださいね。
岐阜,    白川郷の南集落内にある白川八幡神社は、白川郷にひっそりとあります。鳥居をくぐると神聖な雰囲気が広がります。毎年月にはどぶろぐ祭りが開催されます。白川八幡神社の釈迦堂は神仏習合の名残で、合掌造りの屋根になっているんですよ。
岐阜,    ここは日本の人気アニメメーションのモデルにもなった場所なのだそうで、聖地巡礼に訪れる人も多いのだとか。白川郷の中にひっそりとたたずむ白川八幡神社にお参りしてみてはいかがでしょうか。
岐阜,    次にご紹介するのは三つ子の合掌造り。ここは白川郷を代表するフォトスポットです。最初にご紹介した城山展望台の反対方向にあるかん町付近で見ることができます。その名の通り三つの合掌づくりが並んだ様子を見られる場所なんです
岐阜,    白川郷の中でも少々奥の方にあるので、あまり知られていない穴場スポットなんです。遠くから見たら全く三つ子に見えないのですが、田んぼの方角からつある合掌造りを見れば、遠近法によって仲良く三つ並ぶ合掌造りを見ることができます。季節を問わずフォトジェニックなスポットです。
岐阜,    白川郷から約時間ほど車を走らせると飛騨古川に到着します。この場所もまた、空前の大ヒットをし、その年に流行語にもノミネートしたアニメメーション映画の聖地と言われている場所で、一躍有名になりました。飛騨古川駅は実際に映画の作中に登場した駅で、映画の世界のような景色を見ることができるんです
岐阜,    駅を一望できる連絡通路からは映画で登場したような景色が見られると多くの人で賑わっています。また飛騨古川駅構内も映画に登場しており、ファンにはたまらないスポットです。映画にでてきたものと同じ構図で写真が撮りたくなりますね
岐阜,    飛騨古川にきたらぜひとも訪れてほしいのが瀬戸川と白壁土蔵街しらかべどぞうがいです。飛騨古川駅の周辺のこの辺りには、風情ある街並みが広がっていて、特に瀬戸川の周辺には白壁の素敵な街並みが広がっています。現代の生活とマッチした素敵な街をお散歩しましょう。
岐阜,    酒蔵や飛騨グルメのお店などがあり、街歩きがとっても楽しいスポットです。そんなに広くないので歩き疲れる心配もありません。街にはフォトジェニックな景色が広がっており、カメラ好きにはたまらないスポットです
岐阜,    瀬戸川と白壁土蔵街の中にある三嶋和ろうそく店は年以上続く和ろうそくのお店。店内ではお店の方が、和ろうそくを手作りしている様子を説明付きで見ることができます。毎年月に行われる三寺まいりの際は、このお店の和ろうそくが使用されます。
岐阜,    この和ろうそく店は全国に軒程度しかないお店の中で、唯一すべて手作りのお店なんです。熟練の技が織りなす美しい和ろうそくづくりを見学し、おみやげに和ろうそくを購入してみてはいかがでしょうか。
岐阜,    続いては、飛騨高山エリアのご紹介です。高山市街地には江戸時代の街並みが残り、着物で歩きたくなるような風情のあるまち並みが広がっています。そんな高山の中でも、多くの観光客が訪れるのが高山陣屋です。幕末には日本各地にヶ所あったと言われる陣屋ですが、主要な建物が現存するのは高山陣屋だけなんだとか。
岐阜,    高山陣屋は、江戸幕末当時の姿を今も残しています。ここには、領時代だったころの歴史がわかる資料が展示されています。日本で唯一現存する高山陣屋は飛騨高山観光ではハズせないスポットですよ。
岐阜,    飛騨高山を代表するグルメと言えば飛騨牛の肉寿司ですよね。数件ある飛騨牛寿司のお店の中でオススメしたいのが飛騨 こって牛です。こちらは、飛騨牛握り寿司の専門店となっております。
岐阜,    おせんべいの上に乗った三貫の飛騨牛のにぎり寿司はキラキラ輝いています。めったに食べられない贅沢なご馳走寿司です。特におすすめなのは三種盛り味の異なる飛騨牛握りをつセットで味わうことができますよ。
岐阜,    飛騨高山には、飛騨牛まんや飛騨牛のコロッケなど、たくさんのご当地グルメがありますが、特におすすめしたいのはみたらし団子です。飛騨の団子は食欲をそそるしょうゆを焦がした匂いが特徴で、メジャーな甘だれがかかったものとは違った風味を楽しむことができます。
岐阜,    そんなみたらし団子の名店と言えば、陣屋だんご店です。こちらは陣屋前広場のすぐ近くでみたらし団子を販売している屋台です。高山の名物として一本一本丁寧に手焼きされたみたらし団子はあっさりとしていて、しょうゆの香ばしさが感じられます。
岐阜,    高山昭和館は高山の町中にある昭和を体験できる施設です。外観からレトロ感が満載の高山昭和館は、建物の中に昭和年代の世界が再現されています。その時代を知る大人はもちろんのこと、知らない世代でも楽しめること間違いなしのスポットです。
岐阜,    高山昭和館の中は写真撮影が自由にできるんですよ。医院や美容院、学校や路地などが再現されていて、当時使われていた日用品や文房具なども展示されています。中には匂いまで再現された展示スペースもあります。昭和年代にタイムスリップしてみてはいかがでしょうか。
岐阜,    自然豊かな岐阜県飛騨地方は緑が美しい。世界遺産白川郷、日本アニメメーションの聖地の飛騨古川、風情ある街並みが美しい飛騨高山の人気エリアをめぐるドライブコースをご紹介しました。大切な人とこの夏は飛騨地方をドライブしてみてはいかがでしょうかなお情報は記事掲載時点のものです。詳細は公式サイトなどで事前確認することをおすすめします
岐阜,    白川郷でとても人気のある、一度は見るべきの定番観光スポットです。合掌造りの家がいくつも並び、懐かしい日本の歴史を間近で感じる事ができます。特に冬は幻想的な雰囲気でおススメです
岐阜,    お土産屋さんも多くあり、子供から大人まで楽しめる観光スポットです。とても綺麗なスポットなので、白川郷を観光する際は絶対に外せないスポットです。
岐阜,    歴史ある合掌造りの内部を見学する事ができる、白川郷の定番観光スポットです。内部はとても広く、貴重な昔の道具や囲炉裏などが展示されています。主屋に加え、土蔵や便所を含めて文化財に指定されいます。
岐阜,    最近では外国人観光客の方も多く訪れるので、なるべく早い時間に見学するのがおススメです。現在、階の一部と階が公開され、和田家代々で使用された遺物や民具が展示されています。白川郷を観光するなら、絶対に立ち寄りたいおススメのスポットです
岐阜,    続いてご紹介するのは、大白川露天風呂です。白川郷で多くの観光客が訪れる人気の天然露天風呂です。白川郷の美しい景色を眺めながらの入浴はとても癒されます。また、エメラルドグリーンの幻想的な色が有名な白水湖を眺める事もできて、まさに絶景露天風呂です。
岐阜,    ここの温泉は天然露天風呂っていうこともあって、設備は脱衣所と小屋だけです。普段は無人のカウンターに料金を落として行くシステムなんだとか。なかなか見ない光景で、新鮮ですね。絶景スポットとしても有名な観光地なので、白川郷を観光する際はとてもおススメです。営業期間月上旬月下旬頃まで。冬季休業。
岐阜,    白山白川郷ホワイトロードは、岐阜県の白川郷から石川県の一里野温泉へと抜ける、ダイナミックな観光有料道路。白川郷の風情ある景色を楽しみながら運転できるホワイトロードは、観光客にも有名です。特に秋は紅葉がとても美しく、多くの観光客が訪れます。
