都道府県,内容
群馬,    最初にご紹介するのは吹割の滝ふきわれのたきです。東洋のナイアガラと呼ばれるこちらは高さメートル、横メートルにわたる滝です。あたかも岩を吹き割れたように見えることからこの名前がつきました。旧文部省から天然記念物および名勝に指定されています。
群馬,    美しい渓谷と豊かな自然に囲まれたこの滝はフォトスポット満載月ごろから紅葉が色づき始め、下旬には見ごたえ抜群にその絶景をもとめ多くの写真家たちも訪れます。舗装された遊歩道もあり、ちょっとしたお散歩にもうってつけです。また道中には昔懐かしいお店も立ち並んでいます。ノスタルジーに浸ってみるのはいかが
群馬,    続いてご紹介するのは尾瀬おぜ国立公園です。こちらは群馬を含む県にまたがっており、敷地の約半分は群馬県にあります。万年前に形成されたこの湿原は、日本百景にも選ばれています。尾瀬と言えば歌にあるように初夏の水芭蕉が有名ですが、実は秋も夏に負けず劣らずきれいなんですよ
群馬,    月過ぎから湿原は草紅葉によって黄金色に染まります。尾瀬を取り囲む森林も次第に紅葉していき、黄金と赤が混ざり合う絶景が繰り広げられます。また夜には満点の星空を見ることができます。天候次第では流星も見ることができるかもしれません。
群馬,    次にご紹介するのは、榛名神社はるなじんじゃです。歴史あるこの神社の境内には、武田信玄が矢を立てて戦勝を祈願した矢立杉やたてすぎをはじめとする、数多くの文化財、天然記念物が点在しています。関東屈指のパワースポットとしても有名で、老若男女問わず多くの参拝客でにぎわっています。
群馬,    秋には参道一帯が紅葉します。長い参道を歩きながらじっくり紅葉を堪能することができます。また途中にはお土産屋さんもあり、お茶を飲みながら一息つくことができます。参道にある赤い橋は写真映えすること間違いなし季節の変わり目、年末に向けて榛名神社でパワーチャージしてみては
群馬,    次にご紹介するのは、草津温泉です。肌寒くなってくるこの時期には日本三大温泉の一つとして知られる草津温泉で温まってみませんか硫黄の香りが漂う昔ながらの温泉街で、中心部には草津のシンボルである湯畑があります。湯けむりとともにエメラルドグリーンの水面を見ることができます。記念撮影スポットとしても人気です。
群馬,    草津温泉の特徴は何と言ってもその源泉の熱さ高温の源泉の温度を下げるために行うのが湯もみです。中心部にある熱乃湯では、毎日湯もみと踊りのショーが行われており、体験することもできます。また温泉街の西には西の河原公園があり、そこでは湧き出す源泉が川のように連なっています。少しばかり歩くと露天風呂もあり、紅葉を楽しみながら温泉に入ることもできます。
群馬,    つ目にご紹介するのは、伊香保温泉です。群馬の温泉として草津に並んで有名な温泉です。石段を上がりながらショッピングを楽しんだり、ご飯を食べたりできる風情溢れる温泉街です。石段を上がった先には、パワースポットとして知られる伊香保神社があります。石段の途中にある足湯に入ることもできます。
群馬,    神社から分ほど歩いた所にある河鹿橋かじかばし。あの有名映画のモデルとなったとも言われています。秋には、赤い橋と燃えるような紅葉を楽しめるフォトジェニックな場所へと変貌します。また伊香保は温泉饅頭発祥の地中でも定番は清芳亭の湯の花饅頭。上品な甘さで、お土産としても人気な商品です。
群馬,    つ目にご紹介するのは碓氷第三橋梁うすいだいさんきょうりょう、通称めがね橋。明治年に作られたこの橋は線路として使われていましたが、昭和年に廃線になりました。日本最大のレンガ造りのアーチ橋であり、どこかレトロな雰囲気が漂うスポットです。国の重要文化財として認定されています。
群馬,    現在めがね橋は遊歩道アプトの道として整備され、橋の上を歩くことができます。おおそよキロメートルのこの遊歩道は周りを木々に囲まれており、秋にはきれいな紅葉を見ることができます。中には写真のようなトンネル道もあり、ちょっとした冒険気分も味わうことができます。
群馬,    次にご紹介するのは、異国情緒漂う西洋のお城ロックハート城です。スコットランドから移築されたというこちらは、本物のお城なんだとか。テレビドラマなどでも使用されるほど有名な建物なんです。
群馬,    こちらではそんな西洋のお城ならではのプリンセス体験などができるんです。きらびやかなドレスをまとって、誰もが憧れるようなお城で記念撮影をしてみてはいかがでしょうか。その他にもライブラリーやミュージアムなど、見て楽しめるような施設もあるのでチェックしてみてくださいね。
