都道府県,内容
広島,    東京駅を過ぎに出発し、約時間で広島に到着します。頃に到着することを見込み、私たちは新幹線内で駅弁を食べました。新幹線内で食べる駅弁も、旅の醍醐味ではないでしょうか。
広島,    広島を代表する観光地といえば原爆ドームですね。広島駅前に乗り場がある路面電車広島電鉄に乗り、原爆ドーム前に到着します。路面電車があらゆるところまで通っているので、移動も簡単です。
広島,    みなさんは原爆ドームがかつて何に使われていたか、原爆が落ちる前の姿をご存知でしょうか被爆前の原爆ドームは広島県物産陳列館として、県内だけでなく他県からの物産品を陳列する場所でした。ちなみに、チェコ人のヤンレツルという方によって設計されています。
広島,    原爆ドームを見終わったら、原爆ドームから歩いてすぐの場所にある握手カフェで一休みしましょう。こちらは、おりづるタワーという複合施設のに入っているカフェで、広島や瀬戸内の特産品を使ったメニューを楽しむことができます。
広島,    私がいただいたのは広島みかんジュース。暑い夏にぴったりの爽やかなドリンクです。他にも、宮島産の牡蠣や、広島のご当地スイーツであるもみじ饅頭をトッピングしたもみじ饅頭ソフトなど豊富なメニューが並んでいます。
広島,    続いては、握手カフェから徒歩分ほどの場所にあるをご紹介します。歩くのが疲れるという方はもちろん電車に乗っても行くことができますよ。こちらは、落ち着いた雰囲気が漂う広島屈指のフォトジェカフェ。
広島,    たくさんのメニューがありますが、おすすめはブルーラテ。鮮やかな色合いのドリンクですが、合成着色料は不使用なんだそう。チーズケーキなどのスイーツとセットにして楽しむこともできます。テイクアウトのみだけでもぜひ。
広島,    本当に食べてばかりなのですが、大人気の広島風お好み焼き店薬研堀 八昌やげんぼり はっしょうで早めのごはんを食べます。尾道の宿を取ったので、早めにごはんを済ませて移動しようという試みです。こちらのお店は、から徒歩分ほどの場所にあります。
広島,    こちらのお店は、にオープンするのですが、開店直後に大行列ができるほどの人気店。そば肉玉がお店のイチ押しメニューです。お好み焼き各種の他に、すじポンなどのすぐに食べれる小鉢メニューもおすすめですよ結構ボリューミーなので、女性の方は人でシェアするのもいいですよ。
広島,    ホテルは尾道で取っていたので、尾道へ向けて出発。広島駅から可部線に乗り、新白島駅で下車。駅前の乗り場から高速バスフラワーライナーに乗り尾道へ向かいました。全部で所要時間は時間ほど。今回宿泊するホテルは尾道みなと館です。
広島,    尾道みなと館は、古民家を利用した趣深い雰囲気と、尾道市街地唯一の天然温泉が楽しめるお宿です。朝には、美味しい朝食がいただけます。尾道駅からは徒歩分ほど歩きますが、ホテルの近くに千光寺ロープウェイ乗り場があるので、観光にもぴったりです。
広島,    千光寺ロープウェイは朝営業開始。分間隔で運行しています。所要時間は分ほどです。ロープウェイに乗って、千光寺公園へ向かいます。千光寺公園から見える美しい尾道の景色を楽しんだら、文学のこみちなどを通りながら下ってみてください。
広島,    途中には、文学のこみちや千光寺、猫の細道など様々な観光スポットに加え、カフェなどもあるので散策しながら気になるスポットに是非立ち寄ってみてくださいねどこを切り取っても景色が綺麗でとっても癒されますよ。
広島,    千光寺周辺の観光が終わったら、駅方面にのんびり歩いて行きます。にオープンするおやつとやまねこは、尾道プリンをはじめとするスイーツが大人気のお店。売り切れ次第終了なのでお早めに行かれることをおすすめします
広島,    プリンの横についているお魚型の容器には、爽やかな瀬戸内レモンシロップが入っています。プリンには様々な種類があるので、お好みで選んでみてください瓶を持ち帰りたい方は、店員さんに渡せば新しいものと交換してくれますよ。
広島,    プリンを購入したら次は尾道駅から徒歩分のところにある 。倉庫をリノベーションしてオープンした複合施設となっています。おしゃれ好きな人が集まるこちらのスポット、と大きくかかれている壁で写真を撮るのがお決まりです。
広島,    ステキなベーカリーショップや雑貨屋さんが並んでいて、目移りしてしまいそう。お土産もここで購入できるので、記念の品を探しましょうまた、ショップ以外にテラスエリアもあり海風を感じながらお散歩するのにも最適な場所となっています。
広島,    そろそろランチの時間でしょうか。 から徒歩分ほど、海が見える場所にあるこめどこ食堂で美味しいランチをいただきましょう。には、先ほどご紹介したおやつとやまねこの姉妹店である やまねこみるというカフェが入っています。
広島,    ここは定食が人気で、おばんざいや小鉢、茶碗蒸しなど様々な料理がついたお得なセットです。食後には、実際にで販売している手作りクッキーをデザートとしていただくことができます。ちなみに筆者はクッキーがとっても気に入ったのでお持ち帰りしました。
広島,    尾道商店にある しましまは、店名の通り外観も内観もメニューもしましまなお店なんです。ちなみに階には人工芝が敷いてあり、足を伸ばすこともできるので休憩にピッタリのお店となっていますよ。尾道でもう少しゆっくりしてから、広島に向かう予定の方はこちらのカフェがおすすめです。
広島,    こちらのカフェでは、紅茶を中心としたドリンクメニューと絶品スイーツを楽しむことができますよ。夏はひんやりかき氷も堪能できます。器もつつが可愛いので注目してみてくださいね。メニューは月一程度で変わるのでを確認してから行ってみてくださいね。
広島,    こちらは広島駅から電車で分ほどのところにあるヘイワ食堂です。広島駅から近いので、尾道方面から早く帰ってきて、出発までこちらでゆったりとした時間を過ごすのもおすすめですよ。休日は行列になることが多いので、平日がおすすめですよ。
広島,    キャラクターのグラスに入ったクリームソーダは可愛くて気分が上がりますよね。どんなキャラクターのッコップが出てくるかはお楽しみ。こちらで大人気の王様のランチはプレートに乗せられたお子様ランチのようでありながら、ハンバーグなどが乗っていて食べ応え抜群です。
広島,    いかがでしたか。今回は、私たちが過ごした泊日の広島尾道旅行をご紹介しました。見所が多く、とても素敵な思い出になったのでぜひ次の旅行先の候補地にしてみてくださいね。なお情報は記事掲載時点のものです。詳細は公式サイトなどでも事前確認することをおすすめします
広島,    宮島への旅は、フェリーに乗る前から始まります。まず、宮島口駅近くにある老舗あなご屋さんあなごめし うえのへ行きましょう。広島湾で育てられた、ふわふわの穴子で腹ごしらえしてから、フェリーで宮島へ出発です
広島,    できたての美味しさを味わうにはうえのの食堂にてあなごめしを食べるのが一番ですが、天気のいい日にはあなごめし弁当を購入し、フェリーや宮島で食べるのもオススメですよ。混雑状況によりますが、お弁当は予約が可能です。
広島,    宮島へ到着したら、まず厳島神社へ行きましょう。満潮と干潮は日に回ずつあります。季節によって時間が変わるので、両方見れるように宮島観光協会のホームページで時間をチェックしておくといいですよ。
広島,    鳥居の近くに行くには干潮時を狙いましょう。厳島神社を参拝する際には満潮時が幻想的に見えてよりオススメです。到着時間に合わせてどちらかを楽しみ、片方は時間に合わせてもう一度来ましょう。帰りの時間に合わせられると移動が少なくできます。厳島神社は現在、工事中となっています。
