都道府県,内容
兵庫,    まず初めに紹介するのは、神戸といえばここな神戸ポートタワーです。夜になるとライトアップされるポートタワーはなんとも幻想的で、神戸に行くなら必ず立ち寄りたいスポット。最上階の展望室からは神戸港と市街地、六甲山の山々などを一望することができます。
兵庫,    近くには神戸港やホテル、ハーバーランドなども。あたり一帯が神戸を代表する観光地となっているため、飽きることなく神戸を楽しむことができるでしょう。神戸港のすぐそば、メリケンパーク内にある のモニュメントで記念撮影するのもいいですね。
兵庫,    神戸メリケンパークハーバーランドは、あたり一帯が大型複合施設となっている神戸のベイエリアです。ここでは、神戸の海風を浴びながら、ショッピングやグルメ、映画館、アミューズメントスペースなどを楽しむことができます。夜にはイルミネーションが煌めく最高にロマンチックなスポットなので、デートにも最適ですね。
兵庫,    神戸ハーバーランドはファッションやグルメ、雑貨など店舗が揃う大型のショッピングモールです。ほかにも、ハーバーランドの中には神戸アンパンマンこどもミュージアムモール、神戸煉瓦倉庫など大人から子供まで楽しむことのできる施設が目白押しで、一日中いても回り切れないほどのボリューム感夜景からショッピングまで一度に楽しめるのは嬉しいですね。
兵庫,    神戸市北野異人館街には、フランスやイタリア、デンマークなどおよその異人館が並んでいます。周りにはいろんな国の料理を楽しめるお店が並んでいて、普段は味わえない異国料理の食べ歩きも可能です。異国情緒が漂うこのエリアでは、おしゃれな神戸の雰囲気を思う存分味わうことができます
兵庫,    北野異人館の館内は絢爛豪華で、どこを切り取ってもインスタ映えするおしゃれな空間。まるで海外旅行に来たみたいな錯覚を起こしてしまいそうです館内はどこも写真撮影が施設内ルール有なので、思う存分写真を撮って、たくさんの思い出を作りましょう
兵庫,    次は異人館の中でも特におすすめなスポットを紹介していきます。まずは神戸の新たなインスタ映えスポットとして話題の、プラトン装飾美術館です。イタリア風のおしゃれな内装や装飾が特に若い女性に人気です。階やカフェのみなら無料で利用することができますが、階や地下室まで行くには入館料円が必要です。
兵庫,    中は世紀から世紀のヨーロピアンアンティークな家具、絵画、彫刻がずらりと並んでいて、煌びやかな美術品や調度品を心ゆくまで楽しむことができます。また、写真撮影がなのもうれしいポイント。どこを見てもキラキラとしていて、見ているだけでも時間がすぐに過ぎてしまいそうですね。館内のカフェではお食事をすることも可能です
兵庫,    続いて紹介するのは、これもまた北野町の異人館街にある神戸トリックアート不思議な領事館です。見た目はおしゃれで白い壁が明るい雰囲気の洋館ですが…実は、ここは様々なトリックアートを楽しめる、異人館では珍しいアミューズメントスポットなのです
兵庫,    見て触って写真を撮って遊べる異人館というテーマで、館内のアートは全て触れたり撮影をしても。自分が絵画の一部になったかのようなユニークな写真を撮ることができます。神戸牛のステーキに潰されそうになったり、背の高さが変化してみえる部屋など、多彩なトリックアートの錯覚を利用した写真はみんなからなにこれと驚かれること間違いなしぜひ訪れてみてください。
