都道府県,内容
石川,    金沢女子旅でしたいことつ目は、フォトジェニックなスポット、金沢世紀美術館へ行って写真を撮ることです。こちらの美術館にはまるでうさぎの耳の形をしたイスや、カラフルなオブジェなど、思わずに載せたくなってしまうスポットがたくさんあるんです。
石川,    特に注目なのが、レアンドロエルリッヒのスイミングプールという作品。ここではまるで深いプールの中にいるかのような写真を撮ることができちゃいます。上からプールを見下ろした時とのプールの見え方の違いも面白いですよ。
石川,    金沢女子旅でしたいことつ目は、山さん寿司のてんこ盛りの海鮮丼を食べることです。こちらのお店で食べられる海鮮丼には、これでもかというほどたくさんの海鮮が乗っていて、とても豪華ですよね。器からこぼれ落ちそうなほどの迫力はすごいです。
石川,    なんとこちらの海鮮丼は、種ものネタが使われているんです。これだけ多くの海鮮が乗っていると、どれから食べるか迷ってしまいますよね。海鮮はどれも新鮮で、味も最高です。丼には地元能登半島産のお米を使用しており、こちらも大変おいしいですよ。
石川,    金沢女子旅でしたいことつ目は、ひがし茶屋街の散策です。こちらの茶屋街は金沢にある中で最も古く、その古風な街並みはまるでタイムスリップしたかのような気分になれますよ。割烹料理屋さんや町屋カフェ、伝統工芸を取り扱うショップなど様々なお店が立ち並びます。
石川,    また、周辺には着物のレンタルを行っているお店がいくつかあるので、レンタルしてお散歩するのもオススメです。古き良き街並みが、着物の雰囲気にぴったりです。カメラのシャッターが止まらなくなりそうですね。お昼と夜では違った雰囲気になるのも見どころです。
石川,    金沢女子旅でしたいことつ目は、でのオリジナルのり巻きづくりです。現代創作和食料理のお店で、もの種類の中から好きな具材を選び、自分で巻いて完成させるスタイルです。
石川,    金沢女子旅でしたいことつ目は、日本三大名園のつでもある兼六園を訪れることです。江戸時代の代表的な大名庭園であるこちらでは、広々とした庭園の中で四季折々の美しさを味わうことができますよ。季節によって見せる表情も異なります。
石川,    入ってみると、とにかくその広さに驚かされます。お散歩がてら、池や築山つきやま、茶屋などに立ち寄りながら、ゆっくりじっくりと園内を見学してみましょう。松の木などの緑や自然あふれる光景に、心も体もリフレッシュされるはずですよ。
石川,    金沢女子旅でしたいことつ目は、箔一で金箔ソフトクリームを食べることです。金沢は実は金箔が有名だということを皆さんご存じだったでしょうかそんな金箔を大胆にもソフトクリームに乗せた金箔ソフトクリームが、最近人気を上げているんですよ。
石川,    箔一の金箔ソフトクリームは、贅沢にも金箔を丸ごと枚使用しています。きらきらと輝く金箔が美しいですね。口に金箔がぺたっと貼りつく感覚がなんとも楽しいですよ。ゴージャスな気分をお手軽に味わうことができます。金沢でしか食べられないこちらのソフトクリーム、ぜひ一度食べてみてください。
石川,    金沢女子旅でしたいことつ目は、古き良き街並みが残る長町武家屋敷跡を散策することです。昔藩士が住んでいたといわれるこの地域では、現在も屋敷にて生活が営まれているようですよ。住宅街なので閑静な雰囲気となっており、静かにゆっくりと散策できます。
石川,    ビルなどが立ち並び近代的な都市とは打って変わって、一歩足を踏み入れればまるで江戸時代にタイムスリップしたかのような感覚になります。風情ある街並みを歩けば、非日常的な気分を味わうことができそうですね。晴れの日はもちろん、雨の日も風情がありますよ。
石川,    金沢女子旅でしたいことつ目は、石川県観光物産館での和菓子の手作り体験です。金沢の老舗和菓子屋の職人さんが親切丁寧に上生菓子の作り方を教えてくれるので、どなたでも安心して参加することができますよ。
石川,    最後には自分で作った個と職人の方が作った個の計個を持ち帰ることができます。楽しい思い出と共に、いいお土産になりそうですね。毎日開催されているので、気軽に参加することができます。便利なインターネットでの事前予約がオススメです。
石川,    いかがでしたか。金沢には魅力的な観光スポットやグルメがたくさんあります。どこもあなたの女子旅を楽しくしてくれるようなところばかりですよね。あなたも今度の週末は、お友達と金沢まで足を運んでみてはいかがでしょうか。なお情報は記事更新時点のものです。詳細は公式サイトなどでも事前確認することをおすすめします。
石川,    まず初めに訪れたいのが山さん寿司 本店です。山さん寿司では、インスタ映えするゴージャスな見た目の海鮮丼が大人気です。近江町市場で食べ歩きをした後、ランチに訪れるのがオススメです。新鮮なお魚が贅沢に盛り付けされています。
石川,    山さん寿司では、新鮮な海鮮のお料理が数多くあります。一番人気の海鮮丼はもちろんのこと、うにいくら丼などの丼ものもあります。ぎっしりと敷き詰められた贅沢などんぶりは見ただけでよだれが出てきます。お好きな海鮮をたっぷり楽しんでみてくださいね。
