都道府県,内容
岩手,    最初にご紹介する岩手のおすすめ観光スポットは駅前芭蕉館です。岩手のグルメといえばわんこそばを思い浮かべる方が多いのでは。こちらのお店は平泉駅から徒歩すぐのところにあるのでアクセスも良好、世界遺産平泉を見に行く前後に寄ってもいいかもしれません。
岩手,    こちらのお店のわんこそばは盛岡市内で食べられるような一椀ずつ足されていくスタイルではなく、盛り出し式。盛り出し式とは、最初は大体どこのお店も椀スタートで自分のペースでいただけるのでゆっくりいただきたい方におすすめ。暑い夏だからこそさっぱりとしたそばでお腹を満たしましょう
岩手,    日本三大鍾乳洞の一つとされている龍泉洞は、洞内にいるコウモリと共に国の天然記念物に指定されています。この洞窟の近くまで来るバスもありますが、本数が少なく乗車時間も長いので車で行くのがおすすめです
岩手,    龍泉洞に来る人の番のお目当てと言っても過言ではないのが地底湖この洞窟の中にある地底湖は世界有数の透明度で、その美しい青さは多くの人を惹きつけています。洞窟の中は涼しいので暑い夏には特におすすめです。
岩手,    続いてご紹介するのは大船渡市にあるかもめテラスというスポットです。皆さん、かもめの玉子というお菓子をご存知ですか黄味餡をカステラ生地とホワイトチョコで包んだ三陸の定番土産。そのかもめの玉子の製造工程や自分だけのオリジナルを作れるのがこちらのスポットなんです。
岩手,    ベースの玉子にチョコや目をトッピングして自由にデコれるイベントは公式ページで開催日をチェックしてみてくださいね。こちらのショップで是非いただきたいのはかもめソフト。かもめの玉子の黄味餡を使用したクリームが絶品です。是非試してみてくださいね
岩手,    さながら極楽浄土のごとしと言われたことから浄土ヶ浜と名付けられたと言われているこの海は、三陸復興国立公園と三陸ジオパークの中心に位置しています。宮古駅からバス(奥浄土ヶ浜行)で約分乗り、奥浄土ヶ浜で下車してすぐのところにあるので、他の観光スポットよりは比較的アクセスが良いのも魅力の一つです。
岩手,    波が穏やかで透明度が高く、とても綺麗なこの海には夏になると多くの海水浴客が訪れます。天気のいい日の夜には無数の星を見ることができます。昼と夜でこんなにも違った顔を見せる浄土ヶ島はいつ行っても楽しめること間違いなしです
岩手,    岩手県の海岸でもうつおすすめしたいのは、碁石海岸です。この海岸は、盛駅から車で約分のところにあります。ここの周辺は遊歩道が整備されているので、車ではもちろん、徒歩でも気軽に楽しむことができます。
岩手,    碁石海岸の中でも景勝地として名高いのが、海水の浸食によってつの穴が開いた大きな岩がシンボルの穴通磯です。ここへは遊覧船でも行くことができ、より近くで壮大な自然の力を感じることができます。
岩手,    窟堂としては日本一の規模を誇る達谷窟は、征夷大将軍であった坂上田村麿公によって建てられたと言われています。ここは、平泉駅から車で約分のところにあり、岩手県のパワースポットとして多くの人が足を運んでいます。
岩手,    毘沙門堂の西側にあるこの岩面大仏は、源義家が彫ったと言われている歴史ある大仏様のお顔です。胸から下は明治年に崩落してしまい、今は顔だけになってしまっていますが、阿弥陀如来として崇められています。ぜひ、探してみてください
岩手,    国宝建造物第一号の中尊寺金色堂があることでも有名な中尊寺は、平泉駅から徒歩分のところにあり少し遠いのですが、平泉駅からすぐのところにあるゴールドレンタ平泉では日円でレンタサイクルができるので、自転車で行くのもおすすめです
岩手,    中尊寺は、年円仁によって建てられた歴史あるお寺です。本堂や金色堂はもちろん、金色堂に続く表参道にある杉並木月見坂も風情があります。歴史がたくさん詰まったこのお寺は多くの人を魅了しています。
岩手,    今にもカッパがでてきそうなカッパ淵は、常堅寺の裏側に流れる小川にあり、遠野駅から車と徒歩で分程で行くことができます。都市伝説や不思議現象が好きな方には特におすすめです
岩手,    ここでは、なんとも珍しいカッパ釣りをすることができるのですが、カッパ釣りをするにはカッパ捕獲許可証という許可証が必要です。遠野駅にある観光案内所旅の蔵遠野やカッパ淵の近くにある伝承園で円程度で買うことができます。とってもユニークなこの沼でカッパ釣りをすればフォトジェニックな写真が撮れるかも
岩手,    日本のアニメ聖地に選ばれている宮沢賢治童話村では、誰もが度は読んだことがある宮沢賢治さんの作品の世界に入り込むことができます。新花巻駅から車で分圏内、徒歩でも分程で行くことができます。
岩手,    宮沢賢治童話村では、年月日から年月日の土日祝日の夏の期間にはライトアップを見ることができます。ステンドグラスとライトが幻想的な世界を創り出しています。月日〜月日、月日から月日は土日祝だけでなく、毎日点灯しますよ。
岩手,    四季折々の姿を見せる木々とエメラルドグリーンの川が美しい厳美渓は、一ノ関駅からバスを約分乗ったところにあります。この渓谷は、国の名勝天然記念物にも指定されており、岩手を代表する景勝地の一つです。
岩手,    厳美渓の名物は、空飛ぶだんごです。これは、岩場にあるカゴの中にお金を入れると、対岸から川の上を通るロープを伝ってお団子が入ったカゴが飛んでくるというもの。厳美渓に行ったらぜひやってみてください
岩手,    厳美渓と名前が似ていることから混同してしまいがちな猊鼻渓は、猊鼻渓駅から徒歩約分で行くことができます。日本百景に選ばれている猊鼻渓では、四季折々の景色や季節に合ったイベントを楽しむことができます。
岩手,    猊鼻渓に来たら外せないのが舟下りです。往復約分、大人は円でペット円も一緒に壮大な自然を体感することができます。時間に本しか出ていないので時間に注意が必要そうです。
岩手,    毎年月下旬～月下旬の約ヵ月間だけ開園しているみちのくあじさい園は、一ノ関駅からバス約に分乗ったあと徒歩で約分歩いたところにあります。車がない方にとっては行きづらいかもしれませんが、行くまでに大変なほど感動も大きいはずです
岩手,    東京ドーム約個分の敷地に約.㎞の散策路があり、その両側には何万株ものあじさいが咲き乱れています。異世界に誘われたかのような気持ちになるほど美しいこの景色は、年の中でも少しの期間しか見ることができない貴重な景色です。年の開園期間は月日までです。
岩手,    いかがでしたか岩手は日本のどの地方からも比較的遠いところにあり、わざわざ行こうと思う方は少ないかもしれませんが、魅力がたくさん詰まっています。素敵な景色を求めてぜひ行ってみてください
岩手,    国内では、北海道に次いで面積の広い岩手県。今回はそんな岩手県の観光名所を北部から南下するコースでめぐります。電車などでは行きにくい場所もあるので、車での移動がおすすめです。
岩手,    まず最初に訪れるのは龍泉洞りゅうせんどう。日本三大鍾乳洞のひとつで、国の天然記念物にも指定されいる名所です。全長以上あるうち、が公開されています。中には日本ではめずらしく種類ものコウモリが住みつき、つの地底湖を見ることができます。
岩手,    世界でも有数の透明度を誇る青い地底湖は、龍泉洞の北にある森林地帯から水が集まってできているそう。洞窟内は年間を通して℃くらいの気温に保たれているため、暑い夏でも羽織るものがあると安心です。
岩手,    龍泉洞から車で約時間走ったところにある小岩井農場は、日本最大級の農場です。敷地内には牛舎や遊具、レストランなどの施設があり、大人から子供まで楽しめる場所となっています。また園内イベントも多く、ひつじのおやつタイムを見学できたり、乗馬やポニーのえさやりなども体験できます。
岩手,    園内のレストランではジンギスカンやピザ、バーベキューなども楽しめるので、ここでランチを済ませましょう。デザートには農場内で搾乳した生乳を使用したジェラートがおすすめ。同じく新鮮な生乳を使ったソフトクリームも人気です。
岩手,    宿泊先に行く前に、滝を見て涼をとりましょう。釜淵の滝は、高さおよそ.、幅およその石の上を数条に分かれて流れ落ちているのが特徴。宮沢賢治の作品にも登場する滝で、国の名勝イーハトーブの風景地のひとつにも指定されています。
岩手,    釜淵の滝の周りは周およそ分の遊歩道にもなっています。夏でも日差しがやわらぐ木陰道なので、ゆっくり散策しながら自然を堪能しましょう。きっと心も体もリフレッシュすること間違いなしです。
岩手,    たっぷり観光を楽しんだら、日の締めは温泉へ。花巻温泉ホテル紅葉館は、岩露天風呂が人気の温泉リゾートです。夕食には岩手の食材を使った郷土料理や、地酒を堪能できます。客室は、和室、洋室ともにあるので、好きなタイプを予約しましょう。
岩手,    岩の露天風呂では、開放的な景色も楽しめます。宿泊者は隣接するホテル花巻、ホテル千秋閣の温泉も無料で自由に入浴できるので、湯めぐりして旅の疲れをとるのもいいですよね。和の空間でゆっくり休んで、翌日に備えましょう。
岩手,    出発前に、ホテルからおよそ分ほど歩いたところにある温泉ベーカリーで朝食をいただきましょう。岩手産の小麦を使用したレーズンパン、食パンなど、約種類のパンやスイーツをいただくことができます。
岩手,    花巻温泉の名物といえば、薄皮の中にはずっしりとあんこが入ってるあんぱん。冷凍のものも発泡スチロールとともに販売しているので、お土産としても購入できます。程よい甘さの粒あんが包まれた人気のあんぱんを食べたら、次の目的地へ出発しましょう。
岩手,    花巻温泉からおよそ分走ったところにある宮沢賢治童話村。花巻で生まれ育った作家宮沢賢治の童話にちなんだ展示や作品を鑑賞しながら学べる施設です。賢治の学校という建物の中では、万華鏡の世界や昆虫の世界などを見学できて、物語に入り込んだかのような体験が楽しめます。
岩手,    入口に向かってアーチが低くなり、自分の背が伸びているかのように錯覚する天空の広場。色んな仕掛けがあるので、写真を撮りながら楽しみましょう。宮沢賢治グッズや花巻の特産品などのお土産も売っているの忘れずにチェックしてみてくださいね。
