都道府県,内容
香川,    フォトジェニックなポイントが話題となっていま人気を集めている香川県。穏やかでゆったりとした雰囲気も相まって、この頃では多くの観光客を集めています。今回はうどんだけじゃない、香川県の魅力をめぐる旅行プランをご紹介します。
香川,    高松空港には羽田空港から飛行機で約時間分のフライト。県内は電車移動もいいですが、日本一小さな都道府県では小回りの利く車移動をオススメしますよ。まず最初に向かうのは高松市から車で時間ほどいった観音寺市かんおんじしです。
香川,    観音寺市についたら、そのまま車で銭形砂絵ぜにがたすなえという観光ポイントへ行ってみてください。江戸時代の硬貨が、砂浜に横、縦というスケールで見られる砂絵で、実際に見るとその大きさに驚きます。琴弾公園の山頂からきれいに見えるのでそこもおすすめスポットですよ。
香川,    お昼には、香川に来たら外せない讃岐うどんを堪能しましょう。観音寺市で筆者がおすすめするのはカマ喜というお店。先ほどのスポットからは車で分ほどのところにあり、いつも多くの人でにぎわう人気のお店です。
香川,    こちらのお店のうどんは、ビジュアルがキュート。女子から人気が高いのも納得です。スープは魚介系のうまみがたっぷり詰まっていて、うどん麺ものどごしがよく、ツルっとなめらかです。観音寺市に来たら絶対食べてほしい一品です。
香川,    お腹がいっぱいになったら、有名なこんぴらさん参りへ行きましょう。さぬきこんぴらさんで名の知られる金刀比羅宮こんぴらぐうは、五穀豊穰や商売繁盛が叶うとされており四国八十八ヶ所巡りの一つにも数えられています。参道には旧跡や文化財も並んでおり、四季の花々も鮮やかに参拝者を出迎えてくれます。
香川,    金比羅宮へのお参りの途中にある今話題のスポットをご紹介します。一カ所目は段目にあることからその名がついた七十七堂なすなどうです。ここでは、こんぴらさんならではの犬のイラストが可愛いテイクアウトドリンクが人で気。ソーダなど体に染みる飲み物はいかがですか
香川,    か所目も参道の途中にあるこんぴらぷりんです。洋菓子店のパティシェが作る本格的で美味しいプリンと、犬のかわいいパッケージが愛らしい瓶で、オープンから話題を集めています。幸せの甘さで、お参り前にパワーチャージです。
香川,    へとへとの参拝のあとは心癒される絶景です。日本のウユニ塩湖とも呼ばれる父母ヶ浜は、鏡のような水面が幻想的な風景を作り出す超絶景スポットです。日没の時間帯に干潮を迎えるタイミングには、息をのむ光景に出会えますよ。
香川,    風がなくほとんど水面が波打たないときには、上下反転の世界が現れます。美しくリンクした二つの世界は、ファンタジックでありノスタルジックな風景に映ります。写真映え抜群なこの場所には、カメラをお忘れなく。
香川,    一日一生懸命動き回ったらゆったりできる宿へ行きましょう。江戸時代に温泉郷として栄えた琴平には、由緒ある温泉旅館が旅の疲れを癒してくれます。こんぴらさんを望む露天風呂なんかで、季節によって変化する景色を楽しんでみてはいかがですか。
香川,    湯元こんぴら温泉華の湯紅梅亭では、ひのきの内風呂のほかに、白や赤の花が水面に浮かぶはな露天など様々な自家泉源の温泉が備えられています。旬で新鮮な郷土料理も人気を集めています。温泉と美食に癒される、贅沢な宿泊が叶いますよ。
香川,    日目は少し早起きして、瀬戸内海に浮かぶ島々へ行きましょう。最初に向かうのは、言わずと知れたアートな島、直島です。高松港からフェリーで向かうことができます。時ごろの便に乗ると時ごろに到着します。時刻表を確認して向かいましょう。
香川,    高松からはフェリーで分ほどで到着します。いま人気のこの観光スポットには、島中のあちこちに多数の芸術作品が点在しています。車や自転車などで散策するだけでも十分に楽しめますよ。レンタル自転車も港の近くで借りることができます。
香川,    港のすぐ近くには直島パヴィリオンがあり、写真スポットとなっています。ステンレス製の素材でできた不規則な形のオブジェの中に実際に入って、写真撮影ができるんですよ。ほかにも直島に点在するアート作品は、どれも目を見張るものばかり。百聞は一見に如かず、いま話題の観光島へぜひ足を運んでみてくださいね。
