都道府県,内容
鹿児島,    羽田空港からおよそ時間、鹿児島空港に到着空港にはユニークな見どころがたくさん。鹿児島弁でお疲れ様を意味するおやっとさぁという名前の天然足湯や、航空に関する展示の楽しめる ソラステージなど、おもてなしの心が垣間見えます
鹿児島,    長い空旅でお腹がすいてきましたね早速ランチにしましょう。鹿児島グルメ食目を頂くのは、空港内にある大空食堂。鶏飯が人気のレストランで、旅行に来た観光客に人気のお店です。こちらでぜひ、奄美大島の郷土料理鶏飯を召し上がってみましょう
鹿児島,    鶏飯の他にも、リーズナブルでボリューム満点のメニューがたくさん。空港内にある他の飲食店と比べても、手軽に郷土料理を頂くことが出来ます。分厚いお肉が特徴のとんかつ定食やカツとじ丼が人気ですよ旅の始まりは、ガッツリ食べて、エネルギーチャージしましょう
鹿児島,    お腹いっぱいスタミナ付けたら、レンタカーを借りて鹿児島市内にあるいおワールド かごしま水族館向かいましょう。桜島を望むことの出来る絶好のロケーションにある水族館では、迫力満点のジンベイザメや鹿児島の深海をモチーフにした巨大水槽を楽しむことが出来ます。
鹿児島,    水族館の見どころのひとつは、イルカプールで行われるイルカの時間。ダイナミックで美しいイルカショーを楽しむことが出来るのはもちろん、イルカに纏わる豆知識を学ぶことが出来ます。カップル旅行に憧れの水族館で夏の思い出を作ってみてくださいね新型コロナウイルスの影響により、月日まで休業となっています。
鹿児島,    かごしま水族館からすぐ近くにあるフェリーのりばから、フェリーに乗って桜島に向かいましょう鹿児島のシンボルである桜島は、現在も、噴煙がもくもくと灰を降らせる火山となっています。火山灰が気になる方は、マスクをするなど、工夫をしてみてくださいね
鹿児島,    鹿児島港よりフェリーでおよそ分、桜島に到着。さっそく、桜島観光に行きましょう今回は、桜島のおすすめ観光スポットをつご紹介します。
鹿児島,    はじめにご紹介するのは、桜島のお洒落カフェ ミナト カフェ。こちらでは、地元の食材を使用したランチやスイーツが頂けます。火山の灰を浴びたように真っ黒な降灰ソフトクリームや島のパワフルさをイメージした桜島カレーなど、フォトジェニックな島グルメを楽しむことが出来ます。
鹿児島,    続いてご紹介するのは、桜島港から徒歩分のところにある桜島溶岩なぎさ公園足湯。こちらは、全長の日本最大級の足湯となっています。天然温泉は、身体も心も芯からポッカポカにしてくれることでしょう。桜島の美しい自然に癒されて、極上のひと時をお楽しみください。
鹿児島,    桜島から鹿児島市に戻ってディナーにしましょう。今回、向かうのは、鹿児島中央駅から徒歩分のところにあるジンガロ。こちらは、手作りの本格窯焼きピザとパエリアが人気のレストランバーです。
