都道府県,内容
熊本,    阿蘇郡南小国町にある黒川温泉郷。昔ながらの風情の街並みと、情緒豊かな四季折々の山林を楽しみに観光に訪れる方も多いはず。まず訪れたら、黒川温泉巡りの観光拠点になるインフォメーションセンター風の舎。無料駐車場も完備されていて、入湯手形もここで買えます。観光で迷うときは、ぜひここに立ち寄って見てください
熊本,    入湯手形をゲットしたら、温泉巡りへ。黒川温泉郷では、全ての旅館の露天風呂を時間制で開放しています。入湯手形を持っていると、黒川温泉街にある露天風呂の中から、ヶ所に入浴する事が出来るので、お得ですよねこの入湯手形は温泉街で使えるクーポンにもなっているので、持っていると何か特典があるかも
熊本,    温泉にゆっくりと浸かった後は、温泉街をぶらりとするのも楽しいですよね。そんなときにおすすめなのは、温泉街にある黒川どら焼き家 どらどら。人気の商品が、どらどらバーガーというどら焼きです。抹茶カフェオレカスタードデコポン阿蘇小国ジャージーの種類の味が楽しめます。どれにしようか悩んでしまいますね
熊本,    どら焼の皮は、手焼きにこだわり､毎日お店のお客様から見えるところで焼いているので、匂いにつられて、ついつい入りたくなります。どら焼きの皮は、ふわふわな食感が楽しめて、中にはクリームの入った大福と餡子あんこが入っています。ほかにも、アイスクリームをサンドしたどらどらアイスは、夏の暑い時期にぴったりですね温泉街をぶらりとしながら、食べ歩いてみてはいかがですか
熊本,    次にご紹介するお店は、黒川温泉に来たら立ち寄って欲しいお店。創業から年以上愛され続けるとうふ料理専門店とうふ吉祥きっしょう。こちらのお店でおすすめなのが、とうふ定食です。厳選された九州産の大豆と筑後川の源流水、天然のにがりによって作り上げられるこだわりの豆腐を是非とも堪能してみてくださいね。
熊本,    また、スイーツも充実していて、なかでも人気なのが、豆乳ソフトクリームですほのかな甘さで後味はさっぱり。お豆腐屋さんならではの、大豆の風味も楽しめる一品です。こちらも、湯巡りの途中に立ち寄って見てはいかがですか
熊本,    黒川温泉街の中心部にある丸鈴橋。観光の方が行き交う橋で、毎日賑わっています。黒川温泉に来たらまずは丸鈴橋で写真を撮るなんていう観光客の方も多いんだとか。橋から見える、風情ある旅館や景色を眺めながら、どこに行こうか考えるのもいいですね。
熊本,    そして丸鈴橋付近で見られる、黒川温泉の冬の風物詩として有名なのが、湯あかりというイベントです。この例年月から月に開催される湯あかりは、竹筒や竹細工にあかりを灯し、あたたかい光が幻想的な雰囲気に包んでくれます。冬の時期なので、寒いですが観光客にも人気のイベントです。湯あかりを見た後は、また温泉にゆっくりと浸かって、冷えた身体を温めましょう。
熊本,    黒川温泉街では、入湯手形の他にも、お酒をはしごできる黒川かっぽという手形もあります。温泉街にあるお宿や、酒屋ではしご酒が楽しめる、お酒好きにはたまらない手形です。創業年以上の老舗店後藤酒店は、黒川かっぽの協賛店でもあり、店内ではお酒の試飲コーナーも出来ます。
熊本,    後藤酒店でおすすめなのが、地ビールの黒川温泉限定の湯上り美人。ネーミングも温泉らしく素敵ですね。こちらは限定ともあって、飲まれる方が多いですしかもビール好きにはたまらないフルーティー、苦味、喉ごしスッキリという種類の味わいが楽しめるのも魅力のつ。種類買って、飲み比べしてもいいですし、お土産にも最適ですね。
熊本,    黒川温泉の発祥の地と言われている地蔵堂。黒川温泉の地蔵坂を降りるとでてきます。こちらでは、首と胴体が分離しているお地蔵さんがまつられていることから、首なし地蔵とも言われていて、数々の伝説で有名なお地蔵さんです。
熊本,    地蔵堂は、昭和の初期に建立されたもので、温泉めぐりで使う入湯手形を奉納する場所にもなっていてます。たくさんの入湯手形が、ぶら下げられていて、絵馬に似ていることから、最近では願い事を書く方も多いとか。入湯手形を使い切った後は、こちらに奉納、もしくは旅の記念として持ち帰ってくださいね
熊本,    黒川温泉から、車で約分くらいのところにある、で使われたことにより一躍有名になった話題のスポット鍋ケ滝なべがたき。こちらの見どころは、何と言ってもこちらの滝です滝の裏側から見るのもまた、魅力のつ。
熊本,    梅雨の時期や、天候の悪い時に来られる方は、雨が心配ですよね。雨でも来られる方はいますが、滝までの道のりが狭く、滑りやすいので気を付けてくださいね。雨だと水量が増している分、迫力がある滝がみられます。色んな見え方がする鍋ケ滝なべがたき、黒川温泉周辺に来られる際は、立ち寄ってみたいスポットですね。
熊本,    続いてご紹介するのは、黒川温泉から車で約時間くらいのところにある、高森湧水トンネル公園。高森湧水トンネル公園は、毎分トンもの水が湧く水源となっていて、水も綺麗なことから、湧水館の前にある水汲み場に、水を汲みに来る方も多いそうです。
熊本,    資料館の湧水館や、高森湧水トンネルがあり、全長のトンネルのが公園になっています。中には噴水や、イルミネーションなどがありますよ。年間通して、トンネル内は度に保たれているのだ、夏は涼しく、冬は暖かく過ごしやすいです。ぜひ足を運んでみて下さいね。
熊本,    黒川温泉からは、やまなみハイウェイを利用して約一時間のところにある阿蘇ファームランド。こちらは、大自然と健康を融合したテーマパークとなっていて、運動を楽しめる施設や雨でも大丈夫な室内でも楽しめる施設があります。
