都道府県,内容
京都,    最初にご紹介する京都の穴場スポットは、東山の石塀小路いしべこうじです。高台寺公園の向かいにある細い路地で、石塀小路と書いてある外灯が目印のいかにも京都らしい雰囲気を醸し出す隠れルートです。見落としがちなので人通りも少なく、自分のペースで風情を楽しむことができます。
京都,    石畳と周囲を囲む町家は、大通りの喧騒とは別世界の京風景へと誘ってくれます。あまり人には教えたくない、自分だけのとっておきにしたいようなスポットです。情緒あふれるわびさび漂う路地に思いをはせてみませんか。なおこちらのスポットは現在撮影禁止となっています。観光する時はマナーを守って静かに観光するようにしましょう。
京都,    次にご紹介するのは、鴨川に並行して突き抜ける先斗町ぽんとちょうです。多くの京料理のお店が立ち並ぶこの通りは、まさに雰囲気抜群のスポットです。昔ながらの京都の景色が現存しており、まるでタイムスリップしたかのような感覚に陥ります。
京都,    細い路地からはさらに細い小道がいくつも生えており、日本らしい路地裏の風景を楽しむことができます。通りに立ち並ぶグルメ店も魅力的で、どこに入ろうか迷うほどです。京都に来たからには、先斗町で昔ながらの風情をカメラに収めること必須ですよ。
京都,    次にご紹介するのは東山の光明院です。このお寺は、紅葉で大人気の東福寺の周辺にある小寺院。シーズン中には大混雑の東福寺の紅葉を少しゆっくり見ることができます。光明院は虹の苔寺と称されるほどの美しい庭園が魅力です。
京都,    丸い窓や四角い障子からお庭を覗くと、和の心を思い出すようで心が静まり返るような感覚になります。真っ白の雪をかぶった庭園もまた乙で、四季を通じて変化する庭園の表情を楽しむことができます。
京都,    次にご紹介するスポットは、あじき路地です。ここは京都の生活がそっくりそのまま垣間見える、ほっこり温かい素敵な路地です。長家に囲まれていて、撮影にも使われるほど雰囲気バッチリの隠れスポットです。
京都,    また、作家さんこだわりの帽子や服をはじめとするレトロな雑貨屋さんが軒を連ねています。自分だけのお気に入りのお店を見つけて是非立ち寄ってみてくださいね。素敵なお店に出会えるはずですよ。
京都,    次にご紹介するのは、神護寺しんごじです。右京区の高雄にあるこのお寺は、高野山真言宗にまつわるもので、古い歴史と重要な役割を持っていた厳かな寺院です。また日本の風習である瓦投げの発祥であるともされています。
京都,    紅葉の名所として知られるこちらは、毎年京都市内でも早めに色づき始める屈指のスポットです。紅葉の隙間から見え隠れするお堂や塔は見応え抜群。紅葉や黄葉がはらはらと舞う時期には、カラフルな景色の美しさと冬の訪れの切なさが感じられ侘しさに満ちる情景を見せてくれます。
京都,    次にご紹介するのは、蓮華寺れんげじです。紅葉で有名なこのお寺ですが、春や夏の風景もまた見ものです。青紅葉や鮮やかな緑の庭園が控えめに調和する空間と、柱や屋根の陰が濃淡を描く涼しげな木造建築とのコラボレーションは感動ものです。
京都,    秋に見られる赤く染まる紅葉とそれを映し出す池の水面、そしてそれを囲む緑の苔のコントラストももちろん見事です。まさに植物が織りなす芸術作品。紅葉の時期以外には観光客の数も少なく、お庭をぼんやり眺めるには最適の場所ですよ。
