都道府県,内容
宮崎,    つ目は宮崎県日向市にある大御神社おおみじんじゃです。日向のお伊勢様さまとの別名を持つこの神社には国歌にも登場するさざれ石が周囲に多くあります。また、この地は年前に龍神信仰をしていた古代遺跡の跡と言われており、今でも龍神に関わるモノが多く存在します。
宮崎,    大御神社から少し歩き、洞窟内にどっしりと構える鳥居をくぐって急な石坂を下った先には、海岸の岩場が一部人工的にくり抜かれた不思議な場所があります。その中にも鳥居が佇んでおり、幻想的な光景を生み出しています。
宮崎,    つ目は宮崎県日南市にある鵜戸神宮うどうじんぐうです。国内では珍しい下り宮の形をとっている神社で、階段を下っていく際の朱色の参道と青い海のコントラストはとても美しいです。荘厳な雰囲気が漂う鵜戸神宮の本殿は波等の侵食によって作られた洞窟に鎮座しています。
宮崎,    鵜戸神宮を参拝したらぜひ挑戦したいのが運玉投げです。運玉を本殿下の磯にある霊石亀石と呼ばれる石のくぼみに向かって投げます。男性は左手、女性は右手で願いを込めながら運玉を投げ、くぼみに入れば願いが叶うと言われています。
宮崎,    つ目は宮崎県高千穂町にある天安河原あまのやすかわらです。高千穂峡から車で約分ほどで訪れることのできる天安河原の大きな洞穴の中には小さな鳥居と社がひっそりとたたずんでいます。洞穴の中はひんやりしており、厳かな感じがぴりぴりと伝わってきます。
宮崎,    天安河原は、天照大神(あまてらすおおみかみ)が岩戸に隠れたせいで世界が暗黒に包まれてしまいましたが、その後八百万の神が集結し神議を開き、無事世界に光を取り戻したとされている伝説の地です。洞窟の中に備えられた鳥居のスピリチュアルな雰囲気はまさにパワースポット。ぜひ訪れてみたい場所のつです。
宮崎,    つ目は宮崎県高千穂町にある高千穂峡 たかちほきょうです。阿蘇山の噴火によって形成された高千穂峡は日本の神話の中心ともいうべきスポットで、日本の八百万の神々が集う地と言われています。訪れる誰しもに自然の活力を与えてくれるパワースポットの頂点ともいえるスポットです。
宮崎,    萌える新緑が美しい春、そして紅葉とのコントラストが美しい秋など四季折々で異なる絶景を見せてくれます。高千穂峡の自然のエネルギーと神々のパワーをふんだんに感じられることでしょう。また、ボートの貸し出しを行なっているので大迫力の滝を間近で感じることができますよ。
宮崎,    次に紹介するのは宮崎空港から車で約分のところにあるフローランテ宮崎です。こちらは屋外施設で四季折々様々な花が植えられており、園内は花の優しい香りに包まれた癒しの空間です。また和風の家、西洋の家、というようにテーマごとのスペースが設けられているため、家のガーデニングの参考にすることが出来ます。
宮崎,    フローランテ宮崎はイルミネーションが綺麗なことでも有名です。毎年冬の時期に開催されます。イルミネーションは、花と光をテーマにしたもので、夜になると園内は煌びやかな空間へと変貌します。昼と夜で全く違った顔を見せてくれる度楽しいスポットとなっています。
宮崎,    つ目は宮崎県宮崎市にある青島です。青島は周囲およそ.ほどの小さな島ですが、島の周囲鬼の洗濯板と呼ばれるゴツゴツした石が平行線で並ぶなんとも不思議な光景が広がっています。島へは砂浜から橋がかけられているので気軽に訪れることができます。
宮崎,    この青島のほぼ中心に鎮座している青島あおしま神社は島全体を境内としているパワースポットです。縁結びに良いとされる青島神社は女性にも大人気で女子旅にもぴったりそして夏には砂浜が海水浴場として公開されるので、県内外から集う多くの海水浴客で賑わいます。
宮崎,    つ目は、宮崎県串間市にある都井岬といみさきです。日南海岸国定公園の最南端にあるこちらの岬は、まるで絵画のような草原と大海原が広がる絶景スポット。夕日の時間が特におすすめです。雄大な自然を満喫すれば、心が癒されるはず。
宮崎,    こちらには、国の天然記念物である御崎馬みさきうまが生息しているんです。人の手がかかっていない野生の馬に会うという貴重な体験ができます。春になると、かわいらしい子馬に出会えるかもしれませんよ。
宮崎,    つ目は宮崎県宮崎市にある江田神社えだじんじゃです。世紀前半に醍醐天皇の指令で作られた延喜式にも記載されている歴史ある格式高い神社のひとつです。ご神木はもちろん敷地内の四方から降り注ぐ樹木の自然のパワーを感じることができます。
宮崎,    江田神社では日本最初の夫婦となった神様であるイザナキノミコトとイザナミノミコトの柱を主祭神として祀っています。そして本殿から少し歩くと広がってくる敷地内にあるみそぎ池は禊みそぎ発祥の地として知られ、伊邪那岐命いざなぎのみことが禊を行い、天照大神を始めとした神々が生まれたと言われています。
宮崎,    つ目は、宮崎県日向市にあるクルスの海です。宮崎県を代表する景勝地であるクルスの海は、波の侵食によって長い年月をかけて岩が削られたことによって出来た地形で、展望台から見るとまるで十字架のように見えます
宮崎,    クルスとはポルトガル語で十字の意味があります。この十字とすぐ横にある岩場を合わせて見るとと叶うの字に見えることから願いが叶うスポットといわれるようになりました。クルスの海のすぐそばには馬ヶ背という絶景スポットも。
宮崎,    次に紹介するのは宮崎県都城市にある東霧島神社つまきりしまじんじゃです。拝殿に向かう途中には鬼岩階段と呼ばれている急な岩の長坂があります。この階段は振り向かずに登り切ると願いが叶うと言われており、そのことから別称振り向かずの坂とも言われています。
宮崎,    拝殿の奥には、イザナギノミコトが剣で切断したと言われる神石が祀られています。この神石は、イザナギノミコトがイザナミノミコトを失った悲しさから流した涙が固まったものと伝えられています。神話の世界と現実が繋がってるかのような不思議な感覚を覚えますね。
宮崎,    最後のつ目は、宮崎県高千穂町にある照葉大吊橋てるはおおつりばしです。九州山地国定公園にかかるこの橋は長さはなんとメートル、そして高さはメートルもある大きな吊り橋です。橋の底の一部が網掛けになっているので谷底が覗けるようになっていなす。度胸がある人はぜひ挑戦してみてください
宮崎,    照葉樹林の山合いにかかっているため、周囲には大自然を満喫できる時間ほどのハイキングコースが設けられています。橋の手前は照葉樹林文化館という照葉樹林文化や森の生物などについて学ぶことが出来る施設があります。日頃の疲れをリフレッシュするにはこれ以上ないスポットですね
宮崎,    いかがだったでしょうか。東京から飛行機で時間半時間程度で訪れることのできる宮崎県は神話に紐づいたパワースポットが多く存在します。心身ともに癒し、リラックスするのにぴったりです。ぜひ週末に訪れてみてくださいね。掲載されている情報は記事更新時点のものです。必ず事前にお調べください。
宮崎,    最初にご紹介するのは、高千穂神社です。ここは約年前に建てられた歴史のある神社です。江戸時代後期に再建された本殿と、鎌倉時代に源頼朝が奉納したという鉄造狛犬一対は国の重要文化財に指定されています。
宮崎,    縁結びのご利益があると知られているのが、夫婦杉めおとすぎ。この本の杉の周りを夫婦や恋人、友人と手をつないで回まわると良縁成就家内安全子孫繁栄のご利益を授かることができるそうですよ。
