都道府県,内容
大分,    まずご紹介するのは、豊後大野市にある稲積水中鍾乳洞です。ここは、日本最大レベルの水中鍾乳洞しょうにゅうどう。四季に関わらず、洞窟の中は常に℃。夏は避暑に最適。逆に最適の冬は暖かく感じられます。
大分,    続いて紹介するのは、奈多海岸です。透明度の高いこちらの海岸は、夏場は海水浴場として大きな賑わいを見せますが、冬になると人はまばらになり、澄んだ海が静かに広がる絶景を見ることができます。
大分,    奈多海岸のには奈多宮なだぐうという神社があり、海の上に岩と鳥居が佇む神秘的な光景を見ることができます。特に鳥居をバックに朝日が昇る様子は感動の絶景なので、是非早朝を狙って訪れてみてくださいね。
大分,    続いてご紹介するのは、湯布院の金鱗湖きんりんこです。ここは湯布院のシンボルともいえる観光スポット。湖に住んでいる魚たちの鱗が夕日で金色に光ることから、金の鱗うろこという名前が付けられました。
大分,    そして、冬のおすすめな時間帯は朝です。湖底から温泉が湧いているため、水温が温かい金鱗湖。寒い冬の朝は、それが湯気となり、幻想的な風景を作り出します。冬にしか見ることのできない絶景です。
大分,    続いてご紹介するのは、真玉またま海岸です。大分県は、九州の東側に位置するため、海の水平線に沈んでいく夕日を見ることが難しい土地。そんな中、ここは大分県で唯一の夕焼けスポットなのです。
大分,    真玉またま海岸では、干潮が夕焼けの時間と重なると、素晴らしい景色を作り出します。遠浅の海岸で、夕陽と干潟がシマシマ模様のようになるのです。引潮の時間帯を確認して、訪れてみましょう。吸い込まれそうなくらい、幻想的な絶景と出会うことが出来ます。
大分,    続いてご紹介するのは、九重ここのえ夢大吊橋です。ここは、平成年に開業した歩行者専門の大吊り橋。その高さは、。歩道専用の吊り橋として日本一の高さを誇ります。
大分,    九重ここのえ夢大吊橋から眺めるのは、九酔渓きゅうすいけい。キロメートルにもわたる巨大な渓谷です。秋になると、素晴らしい紅葉で人々を魅了します。月下旬までが見ごろの季節となります。また、震動の滝という落差メートルの迫力ある滝も見ることができますよ。
大分,    続いてご紹介するのは、豊後大野にある原尻はらじりの滝 です。ここは、高さではなく横幅の広いダイナミックな滝。その迫力ある絶景から、東洋のナイアガラと呼ばれています。
大分,    山の中ではなく、田園風景の中で突然現れる原尻の滝。滝が落ちるポイントの手前には、吊り橋があり、そこからも迫力満点の絶景を見ることが出来ます。さらに下に降りて、滝の近くに寄ることも可能ですよ。
大分,    続いてご紹介するのは、竹田市にあるくじゅう花公園です。ここは、阿蘇国立公園内の久住高原の中にある植物公園です。四季折々、様々な花が咲き誇ります。園内はとても広く、花畑だけでなくイングリッシュガーデンや、温室、果実エリアがあり、美しい花々や果物狩りを楽しめます。そしてなんと、キャンピングリゾートもあるんです。
大分,    雄大な山々をバックに彩り鮮やかに開花した花々。自然の豊かさを感じられるここでしか楽しめない景色です。植えられ方にも工夫がなされており、春彩の丘ではまるでパッチワークのようなカラフルな花畑を楽しめます。開花の時期は、月上旬から月下旬頃。ぜひ美しい光景を楽しんでみてくださいね。
大分,    続いてご紹介するのは、国東半島にある離島の姫島ひめしまです。国東半島から約キロメートル離れた小さな島。ここは、瀬戸内海国立公園の一部でもあります。そのため、海の幸も豊富に採れるのです。
大分,    その中で、一番の絶景スポットとして有名なのが観音崎にある千人堂です。その崖は、なんと黒曜石。姫島には姫島七不思議と呼ばれる不思議な伝説が多く残されています。この千人堂もその七不思議のひとつなのです。
大分,    続いてご紹介するのは、藤河内ふじかわち渓谷です。ここは、大分と宮崎の県境にある祖母そぼ傾かたむき国定公園の中にあります。観音滝を起点として、約キロメートルの渓谷が広がります。
