都道府県,内容
岡山,    最初にご紹介するのは、牛窓オリーブ園です。穏やかな瀬戸内海に面するこの場所は、その美しい風景から日本のエーゲ海と称されているんだとか。小高い丘からは、牛窓の爽やかな風景を一望することができるんです。
岡山,    園内ではたくさんのオリーブの木が栽培されており、お土産にはオリーブオイルやコスメも購入できます。美しい海岸に立ち並ぶオリーブの木がまるで海外のような雰囲気を醸しだす素敵なエリアです。日本にいながら異国情緒を感じたい人にもオススメですよ。
岡山,    昔ながらの町並みが残る地域は、実は倉敷だけではありません。江戸時代からの雰囲気に包まれた吹屋ふるさと村には、明治時代にかけて建てられた家々が残存しており、国の重要伝統的建造物群保存地区にも認められています。
岡山,    ベンガラという赤色の塗料の生産で栄えたこの一帯には、赤褐色の建物が軒を連ねています。山中の古い町並みには職人気質の文化が根付いており、美しいベンガラ染めのお土産も手に入りますよ。レトロな雰囲気が人気を集めているスポットです。
岡山,    続いてご紹介するのは、絶景の星空です。美星天文台があるこの町の夜空は、町の名前にもなるほどの美しさが自慢です。国内屈指の天文台では、誰でも自由に望遠鏡をのぞいて綺麗な夜空を観測することができるんですよ。
岡山,    ロマンチックでキラキラと輝く星空は、子どもはもちろん大人まで感動すること間違いなしです。明かりが少ない地方の町だからこそ、頭上に広がる宝石箱のような絶景を拝むことができます。恋人や家族と一緒に訪れてみてくださいね。
岡山,    江戸時代に岡山藩主によって建てられた旧閑谷学校きゅうしずたにがっこうは、庶民を対象に開かれた現存する公立学校として世界最古といわれており、とても貴重な場所になっています。重厚でありながらも美しい佇まいの建物は、長い歴史を物語っています。
岡山,    国宝に指定されている講堂をはじめ、見ごたえたっぷりの建物が敷地内に点在しています。この学校は、日本の歴史を作り上げてきた多数の人々を輩出してきました。学校を包む木々も秋には美しく紅葉し、四季が感じられるスポットにもなっているんですよ。
岡山,    続いてご紹介するのは、児島ジーンズストリートです。国産のジーンズの聖地ともいわれる倉敷市の児島は、駅の改札からデニムのジーンズがお出迎えしてくれるほど。全国からたくさんのジーンズファンが集まります。
岡山,    通りの両脇には多くのジーンズショップが軒を連ねており、ジーンズファンにはたまらないスポットです。岡山のジーンズの先駆けとも言われる桃太郎ジーンズをはじめ、デニム生地に包まれた町はインディゴ一色に染められています。
岡山,    岡山県の美しい美術館もご紹介します。とも呼ばれる奈義町現代美術館は、建物と作品が一体化した美術館です。大人から子どもまで楽しめる展示では、自分までもが作品の一部になったかのように感じられます。
岡山,    大地、月、太陽と名付けられた展示室では、大きなスケールで描かれる芸術作品から神秘的なパワーやメッセージが感じられます。光と陰、水に風と自然によってかたどられた作品では、世界と自分自身を見つめなおす体験ができますよ。
岡山,    次にご紹介する岡山県の観光スポットは、真鍋島です。風情のある漁村の町並みと島中のあちこちに顔をのぞかせるネコが見どころのこの島、なんと人口よりもネコの生息数の方が多いんだとか。ネコ好きにはたまらない場所になっています。
岡山,    また現在も使用されている木造校舎の真鍋中学校では、レトロな雰囲気の校舎内を見学することもできるんですよ。現役の学生もいるこの中学校、見学時には職員さんから許可を得て、迷惑にならないようにノスタルジックな雰囲気を楽しんでくださいね。
岡山,    続いてご紹介する観光スポットは、砂湯露天風呂です。全国の露天風呂番付では西の横綱にも選ばれているこの場所は、湯原温泉の名所です。足元からは、砂とともに勢いよく源泉が吹き出しています。目の前に迫るダムも迫力満点です。
