都道府県,内容
沖縄,    那覇と言えば外せない、那覇国際通り商店街。国際通りの名前でよく知られていますよね。商店街の両端はそれぞれ、ゆいレール県庁前駅と牧志駅からすぐの所。沖縄県庁もすぐ近くにある商店街には、観光客向けのお土産屋さんや飲食店が立ち並び、いつも海外や他県からの観光客で賑わいます。
沖縄,    通りを歩いてみれば、アメリカンなネオンが光る飲食店や南国風な雑貨店、ヤシの木などがそこかしこにあり、本州にはない異国情緒が漂います。沖縄の郷土料理が楽しめるお店もたくさん集まっているので、お土産選びの合間にランチやディナーで沖縄料理を堪能することができますよ。
沖縄,    国際通りの観光で外せない最新スポットが、こちらの  ティーダビーチパーラーです。可愛らしいスムージーなどのドリンクからアサイーボウル、そして雑貨まで揃った、女子に嬉しい観光スポットです。思わず写真を撮りたくなっちゃいそう
沖縄,    沖縄でお土産を選ぶ際にもおすすめ。沖縄土産はいつも似たようなお菓子ばかり買って行きがちで、みんな飽きているかもしれません。しかしここでセンスのよいアクセサリーなどを買っていけば、お友達も喜ぶこと間違いなし。ぜひ利用してみてください。
沖縄,    ゆいレール牧志駅より徒歩約分、美栄橋駅より約分の第一牧志公設市場まきし。国際通りにある市場本通りの看板からアーケード下を辿ると、公設市場入口の看板が見つかります。那覇の台所として長い歴史を持つ市場には、沖縄でしか見られないカラフルな魚や名物のあぐー豚、沖縄県産の野菜や果物など、さまざまな食材が集まります。
沖縄,    ここでは、建物階で購入した魚を階の食堂街で調理してもらえる持ち上げというユニークなサービスが魅力。ここでしか食べられないお魚を、新鮮な状態でおいしくいただくことができますよ。営業時間は店舗により異なりますが、市場全体は時から時まで。月を除く毎月第日曜日や正月などはお休みです。
沖縄,    平和通り商店街はゆいレール美栄橋駅より徒歩約分。国際通り沿いに入口がある、市場本通りのおとなりの通りです。古くから続く商店街には食品や衣料品のお店が雑然と並び、 観光客向けの国際通りよりも、地元民向けの商店街といった雰囲気。地元のお客さんでいつも賑わっています。
沖縄,    観光プランに入れるなら、国際通りや第一牧志公設市場と併せての散策がおすすめ。地元向けだからこその面白いお菓子やお土産物など、掘り出し物が見つかるかもしれませんよ。万一雨が降ってしまっても、アーケードに覆われているので、気にすることなく観光できるのが嬉しいスポットです。
沖縄,    瀬長島ウミカジテラスはゆいれーる赤嶺駅からバスに揺られ分ぐらいの場所に位置しています。こちらはこの場所限定のお土産や現地のグルメを存分に味わうことができるスポットです。
沖縄,    海外沿いにあるため、綺麗すぎるオーシャンビューを望むことができます。テラス席で沖縄らしいお食事をいただきながら綺麗な海を眺めるのもいいですね。お土産や雑貨のショップもたくさんあるので飽きません
沖縄,    壺屋やちむん通りはゆいレール牧市駅安里駅よりそれぞれ徒歩約分。壺屋はもともと年の琉球王国下で、陶器産業の振興のため窯場が集められた場所。古い歴史を持つ壺屋焼を今に伝える場所です。通りには陶芸品の店舗が立ち並び、工房を兼ね備えるお店も。見学や、手作り体験もできます。
沖縄,    やちむんとは、沖縄の言葉で焼き物のこと。壺屋やちむん通りには、伝統的な焼き物を揃えるお店だけでなく、現代的でおしゃれな模様の入った器やかわいらしいシーサーの置物などを扱うお店も増えています。通りにはカフェもあるので、散策をしながら気になるお店を覗いてみたり、のんびりお茶をしたりしたいですね。
沖縄,    那覇の海を存分に堪能したいなら、株式会社 ウエストマリンが運行する大型水中観光船 オルカがおすすめ。旭橋駅から歩いて約分の待合所から出港し、時間ほどの水中クルーズが楽しめます。ビーチで南国の降り注ぐ太陽と白い砂浜を楽しんだら、お次は海中散歩を楽しみましょう。
沖縄,    クルーズは日便出港。料金の支払いは現地にて、予約は日前までとなっています。詳しくはにてご確認くださいね。水中クルーズなら、沖縄だからこそ見られるカラフルな南国の魚たちを、船の中から間近に見ることができますよ。お得なクルーズ後のお食事付きプランも要チェックです。
沖縄,    首里琉染しゅりりゅうせんは琉球の紅型びんがたという染色文化を伝えるお店。首里城から歩いて約分で行くことができます。テレビの時代劇などでも衣装提供をしているこのお店では、美しく染められた雑貨の購入や工房の見学ができるだけではなく、自分で染め物を体験することができます。
沖縄,    体験では、型紙を使ってその隙間を埋めるように染め上げていく伝統的な紅型びんがたと、化石化したサンゴを用いて模様を付けるサンゴ染めのどちらかを選択できます。定員が決まっており予約優先なので、事前にメールか電話でのご予約がおすすめ。年中無休で時から時まで営業しています。
沖縄,    那覇市伝統工芸館は 琉球ガラス吹き、琉球びんがた、シーサー作り、琉球うるし、シーサー作りなどのつの工芸品を作ることができる場所です。国際通り沿いにあるためアクセスも良く、気軽に伝統工芸の体験をすることができます。
沖縄,    再生ガラスを使うなど伝統にこだわり、本格的な琉球ガラスを作ることができますよ。形や色など自分好みに合った世界で一つだけのグラスを作ってみてくださいきっといい思い出になるはずですよ。
沖縄,    沖縄と言えばビーチのイメージですが、那覇市で遊泳可能なビーチは実はこの波の上ビーチだけ。国際通りから歩いて約分ほどで行けて、アクセス良好。繁華街から近く、こじんまりとしたビーチではありますが、透き通った海水が綺麗です。砂浜では、綺麗な色の貝殻やサンゴなどを見つけることができますよ。
沖縄,    波の上ビーチの西サイドには、波の上うみそら公園があります。湾曲した岸に囲まれた目の前のビーチはダイビングシュノーケリング用のエリアで、公園内のダイビングショップ...エム.エム.エス.オキナワを利用すれば、ガイド付きの体験ができます。更衣室やロッカー、シャワーもあるので、着替えや前後の予定への心配もありません。
沖縄,    波上宮なみのうえぐうはゆいレール県庁前駅旭橋駅から徒歩およそ分。波の上ビーチの上に切り立つ崖のてっぺんに、厳かにたたずむ神社です。かつて琉球では、海のかなたに存在するといわれる海神の国ニライカナイの神々に豊漁や豊穣の祈りを捧げる風習があり、その祈りの聖地のひとつであったのがこの波上宮でした。
沖縄,    波上宮は琉球王国において特別な扱いを受けた琉球八社のひとつでその最上位にあり、当国第一の神社と尊ばれました。境内にヤシの木の生える神社の本殿前には狛犬こまいぬではなくシーサーが鎮座し、他の神社にはない、ゆったりとした空気が感じられます。
沖縄,    福州園は県庁前駅から徒歩約分。那覇市市政周年と中国の姉妹都市福州市との友好関係周年を記念して、年に造られた中国式庭園です。住宅街に囲まれながら、ここだけがシンと静かに澄んだような空気が流れているのが感じられます。開門時間は時から時まで。
沖縄,    庭園内を散策していれば、池へ落ちる滝の音に心が澄み渡るよう。園内の建物に施された透かし彫りの美しい窓や装飾も、見逃さないでほしいポイントです。かつて、明に貢ぎ物を送る一方で数々の返礼品を受けていた琉球。福州園は、そんな琉球と中国の古い関係や歴史を今に伝える、貴重なスポットです。
