都道府県,内容
埼玉,    実は川越駅から北に向かって伸びる道は、場所ごとに平成、昭和、大正、江戸の街並みを感じられるという特徴を持っています。新たな令和の時代が始まるとともに改めて日本の古き良き町並みを感じるのにぴったりな場所なんです。タイムスリップ気分を味わえるモデルルートと、周辺に広がるおすすめスポットと合わせて早速見ていきましょう
埼玉,    まず初めにご紹介するのは、クレアモール川越です。川越駅の周辺から広がる平成を象徴するかのような商店街がタイムスリップの始まり。大都会の洗練された空気感というよりも地元のローカルな商店街のような雰囲気のクレアモールは、今の私たちの生活の中のワンシーンのようでもありますね。
埼玉,    クレアモール川越をぶらぶら歩いていると右手に見えるのが、川越いわた。川越観光で外せないグルメ、大学いものお店です。創業以来変わらないフォルムの輪切りタイプや、食べ歩きしやすいスティックタイプなどがあり、それぞれ産地の違うサツマイモを使用しているので、食べ比べできますよ。
埼玉,    大学いものほか、自家製のアイスキャンディーも人気なんです。サツマイモやフルーツがカラフルに転がっているアイスは、どこか懐かしく、川越の街に馴染む可愛さです。たくさんの食べ歩きグルメがある時の鐘近くにも店舗がありますが、こちらの店舗を食べ歩きのスタート地点にしてはいかがでしょうか。
埼玉,    川越駅からクレアモールを歩いて約分の場所にある小江戸 蔵里クラリ。ここは明治年創業の旧鏡山酒造の建築物を、その建物の雰囲気を残しつつリノベーションした施設なんです。川越の新たな魅力を発信する施設として地元の人々にも観光客にも開かれた川越市の物産館です。
埼玉,    現代風の街並みの中に唐突に現れるレトロな建物を見つけると思わず入ってみたくなりますねここには川越のお土産が集まるショップと酒蔵を改造したレトロモダンな雰囲気の和食レストランなどからなっており、初めて川越に来た方にはぜひ足を運んでみてほしいスポットなんですよ。
埼玉,    ここからは中央通りとその歩き方をご紹介します。駅前に広がるクレアモールの先にある大正浪漫夢通りの一本西、県道号線に沿って昭和の街並みが広がっている道があります。別名昭和の町とも呼ばれています。
埼玉,    中央通りにある土麦つむぎは今川越のおしゃれで美味しいグルメスポットとして注目を集めています。ここは、昼はうどんを提供するレストラン、夜はうどんはもちろん地酒などのお酒もいただける居酒屋に変わるお店なんです。
埼玉,    見た目の可愛らしさから思わずにアップしたくなるレモンの冷やかけうどんや、ボリュームたっぷりで野菜もしっかりとれるむさし麦豚の肉汁うどんはランチの人気メニューですよ。夜はうどんの他にもエイヒレや馬刺しなどのおつまみも充実しているのでお酒好きの方にもぴったりなお店なんですよ。(年月現在、ランチのみの営業になっているので、事前にご確認ください。)
埼玉,    続いてご紹介するのは、蓮馨寺れんけいじです。ここは、なんと室町時代に創建された浄土宗のお寺で、古くから川越の方に愛されてきたお寺なんです。このお寺は、安産から子育て、その他人々の願いを叶えてくれるという呑龍上人どんりゅうしょうにんが祀られています。
