都道府県,内容
滋賀,    びわこバレイのロープウェイ山頂駅の隣に琵琶湖を一望することができる琵琶湖テラスがあります。とっても標高が高いところにあるので、目の前一体が青い綺麗な湖でいっぱいになりますよ。ウッドデッキのテラスのオシャレなソファやいすに座って、くつろぎながら見れるなんてとても贅沢ですよね。
滋賀,    次にご紹介するスポットは、松尾芭蕉が愛したといわれる浮御堂うきみどうです。湖上に突き出たお寺が特徴的ですよね。まるで湖に浮かんでいるように見える不思議で神秘的なお寺です。また、浮御堂の中には千体の阿弥陀仏が安置され、その仏の像を見ることもできますよ。
滋賀,    次にご紹介するスポットは近江の厳島神社とも言われる白髭神社しらひげじんじゃです。琵琶湖の湖に浮かんでいる鳥居が何とも存在感があります。夕日や朝日をバックに見る白髭神社はとても美しく、感動的ですよ。白髭神社は長寿にご利益がある歴史ある神社です。
滋賀,    次にご紹介するスポットは、琵琶湖大橋です。この橋は、大津市と守山市に架かる長い橋です。真ん中に船が通れるようアーチ状になっていて、何ともフォトジェニックな美しい橋になっています。
滋賀,    次にご紹介するスポットは、近江舞子おうみまいこです。海水浴場になっており、白くて綺麗な砂浜から広大な琵琶湖を眺めることができます。砂浜と琵琶湖のマッチはとっても素敵で圧倒されますよ。
滋賀,    次にご紹介するスポットは、人気ゆるキャラのひこにゃんでおなじみの彦根城です。小高い丘陵の彦根山に造られ、天守を始めとした多くの部分が国宝として指定されている歴史あるお城ですよ。また、天守閣からは琵琶湖を見渡すことができます。滋賀県の街並みと、綺麗でかつ広大な琵琶湖を歴史ある彦根城から見ることができるなんてとっても贅沢ですね。
滋賀,    まず最初にご紹介するホテルは、セトレマリーナびわ湖です。琵琶湖と比良の山々に囲まれた贅沢なプライベートリゾートです。客室からは琵琶湖を見渡すことができ、ハンモックが付いている客室では揺られながらゆっくり琵琶湖を堪能できますよ。
滋賀,    次にご紹介するホテルは、琵琶湖ホテルです。京都駅から電車で約分のところにあり、アクセスも便利です。客室は全室レイクビューになっていて、贅沢に琵琶湖を一望できます。客室は、青や水色を基調とした清潔感のあり湖の色とマッチしています。まるで琵琶湖中でくつろいでいるような気分になりますよ。
滋賀,    次にご紹介するホテルは、びわ湖大津プリンスホテルです。全もの客室がありとっても広くまた、階という超高層ホテルです。全客室が琵琶湖に面し、絶景をどこからでも眺めることができます。また、琵琶湖を見渡せるプールもあるので、夏にも楽しむことができます。
滋賀,    次にご紹介するホテルは、びわ湖花街道です。和室になっていて日本の風情を感じられますよ。また、全室びわ湖を眺められるので畳の良い香りをかぎながら絶景を見てリラックスできます。露天風呂付き特別室もあり、琵琶湖を見ながらくつろぐことができます。
滋賀,    まずご紹介するカフェは、なぎさウォームズです。琵琶湖を全面に見渡せるテラスで食べるご飯は格別です。オーガニック食材を使っているため身体にとっても良いご飯ですよ。ランチは近江の有機野菜をたくさん使ったプレートやエッグベネディクトなどがあります。
