都道府県,内容
島根,    日本全国にあるパワースポットの中でも、古来から続く縁結びのスポットが多い島根県の出雲松江エリア。恋愛だけでなく、様々なご縁を結んでくれる場所がたくさんありますよ。友人と、恋人と、今までのご縁に感謝して、これからのご縁を祈りにでかけませんか
島根,    日間で松江と出雲の両方を大満喫するために、昼頃には、松江駅に着くように向かいましょう。これから始まる旅のわくわくと共に、いざ出発です島根には美味しいものもたくさんあるので、お腹を空かせて集合しましょう。
島根,    まずは腹ごしらえから。松江に来たら必ず食べたいのが、鯛めしです。鯛めしが名物のところは松江以外にもたくさんありますが、松江の鯛めしは、蒸した鯛の身をそぼろ状にしたものと、薬味をごはんに乗せて出汁でお茶漬けにするスタイルです。
島根,    一品一品にこだわり抜いた豊富なメニューが揃っております。リピーターが多い秘訣も、ここにあるかもしれませんランチでは、鯛めし御膳や鰻まぶし御膳などが頂けますよ。旅の始まりに、ぴったりのお店ですね
島根,    松江の観光スポットといえばここ、松江城です。.あるしゃちほこは、現存する木造のしゃちほこの中で最古のものです。城内を見学することができ、天守閣からは、松江の街並みや宍道湖が見渡せます。石垣にハート型の石が隠れているので、ぜひ探してみてください。
島根,    松山城を観光している中で休憩したくなったら、こちらの亀田山喫茶室がおすすめです。興雲閣と呼ばれる白い洋館ぽい建物の中に入っています。レトロな雰囲気が素敵で、ケーキやタルトなどのスイーツをいただくことができますよ。
島根,    つ目の松江のオススメ観光スポットは八重垣神社です。縁結びというと出雲大社が有名ですが、島根では八重垣神社も古くから縁結びの神として親しまれています。こちらでも恋愛成就を祈りましょう。境内にある池に用紙を浮かべる硬貨を乗せる縁占いが人気です。松江駅からはバスで約分ほどで到着します。
島根,    つ目の松江のオススメ観光スポットは島根県立美術館です。こちらは、宍道湖の畔に建つ美術館。水との調和をテーマにしており、宍道湖を見渡すことのできる開放的な空間が広がります。建物は横に長く、特徴的な形をしています。館内には絵画などが展示されており、屋外には彫刻もあります。
島根,    松江での観光が終わったら、出雲との間にある宍道湖しんじこへ向かいましょう。宍道湖は、全国で番目に大きい湖です。わずかに塩分を含むため、豊富なシジミや白魚などの豊富な魚類が生息していて、島根のご当地グルメともなっています。
島根,    日本の夕日百選にも登録されている、夕日の美しいスポットです。日没分前からが特に美しいと言われているので、日没時間を確認してから向かいましょう。サンセットクルージングもあります。事前に日が沈む時間を調べてから行くのがおすすめです。
