都道府県,内容
鳥取,    鳥取砂丘ならではの自然の産物があります。風速以上の風が一定して吹き、砂を動かすことで生み出される模様を風紋、砂の斜面にできる簾状の美しい模様を砂簾、雨が降った後に湿った砂の上を強い風が吹くとできる模様を砂柱と言います。どんな砂の造形に出会えるのかお楽しみに。
鳥取,    地形や気候によって刻々と変化する砂丘の表情は、映えすること間違いなし。砂の造形は観光客の足跡で儚く消えてしまうため、誰も足を踏み入れていない場所で早朝に見るのがおすすめです。夕方も斜光を受けて陰影がはっきりとし、立体感が増してきれいです。
鳥取,    まるで異国を訪れたかのような気分を味わえるラクダ乗り体験。ラクダに乗ると目線が高くなり、雄大な砂丘を広く遠くまで見渡すことができます。のんびりゆっくりと歩くラクダに身を任せ、綱を引いてもらいながら乗り場付近を回ります。有料でラクダと一緒に記念撮影もできます。
鳥取,    屋根付きの馬車は、砂丘の入口階段の近くから乗り、日本海の水平線が見える場所を回って約分かけて砂丘を巡ります。時間帯や天候によって風紋が見えたり、ガイドが付くので砂丘のことを学びながら景色を楽しめます。お子様連れや自分の足で歩くのが大変な方におすすめです。
鳥取,    砂の美術館に展示している砂像は、水で固めただけの砂の塊を彫ってできる彫刻作品です。年から毎年テーマを変えて、世界で活躍する砂像彫刻家が作品を創り出しています。砂像の魅力は、砂だけを使って作られているとは思えないほどの迫力と細部まで丁寧に表現された繊細さです。
鳥取,    永遠に維持することができない砂像との出会いは一期一会です。崩れていく儚さの中にある美しさも見る人を惹きつけるのでしょう。また新たな砂像との出会いを求めて、次回の展示会を楽しみにしているリピーターも多いです。砂丘で触れる自然の砂とはまた違った、砂の造形美を見に美術館へ足を運んでみてください。
鳥取,    鳥取砂丘はどこまで飛んで行ってもぶつかるものが何もない広大な砂場で、着地はやわらかい砂が体を受け止めてくれるため、パラグライダー体験に適しています。経験豊富なインストラクターが指導してくれるので、初心者もその日のうちに飛べるようになり、安心安全に体験できます。
鳥取,    風に乗って少しずつ宙に浮いていき、そのままふわりと空中散歩。ほど高さがある砂丘の斜面から飛び立つと、空から見える砂丘の白と日本海の青の美しい景色が見られます。一人で飛行するのが不安な方はインストラクターと一緒に飛行するコースもあるので、ぜひ楽しんでください。
鳥取,    砂丘会館は鳥取砂丘の東口にある大型のドライブインです。郷土色豊かな食事が味わえ、鳥取の名産品を多数揃えており、土産物の買い物や休憩スポットとして多くの観光客が利用します。併設のカフェでは梨のソフトクリームが一番人気。らっきょうバーガーなどの鳥取ならではの級グルメも味わってください。
鳥取,    観光のおやつに、お土産に砂たまごはいかがですか。鳥取県地鶏の有精卵を鳥取県の因州和紙で包み、鳥取砂丘の砂で蒸し焼きにした、まさに鳥取尽くしの一品。遠赤外線効果により水分がほどよく抜け、白身にはほんのり焦げがついており、味は濃厚でホクホクとした食感が魅力です。
